Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1896,63.209649,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1901,63.376307,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1903,63.44298,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1908,63.609636,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1911,63.709632,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,1916,63.876258,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,1916,63.899999,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),1917,63.90959,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),1918,63.942922,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),1921,64.042962,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,2076,69.202089,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2099,69.968687,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2117,70.568681,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),2128,70.935344,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),2129,70.999999,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2130,71.00201,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),2136,71.233331,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2138,71.268672,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),2144,71.499997,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2146,71.535336,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,2150,71.668659,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,2151,71.701992,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),2152,71.735334,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),2154,71.833332,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),2156,71.868665,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,2341,78.054222,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2366,78.874732,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2382,79.40806,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),2394,79.80805,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),2395,79.841383,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2396,79.874715,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),2402,80.074708,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2403,80.108046,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),2409,80.308039,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2410,80.34137,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,2414,80.499999,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,2414,80.499996,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,2414,80.499999,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),2416,80.541368,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),2417,80.574701,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),2421,80.708028,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,站定準備,417,13.93333,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,525,17.50408,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,562,18.759625,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,拋球(球位於最低點),563,18.792958,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,拋球(球離手),603,20.104211,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,613,20.437555,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,蹲下(最低點),636,21.206486,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,641,21.370865,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,起跳(雙腳離地),661,22.04355,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),664,22.143549,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,手肘到前,682,22.766666,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,抬擊球手前1幀,689,22.999996,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,擊球(瞬間),691,23.066661,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,球離手(瞬間),693,23.133327,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,落地(腳著地瞬間),704,23.49999,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,1329,44.327432,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,1387,46.261744,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,拋球(球位於最低點),1394,46.482538,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,拋球(球離手),1425,47.509477,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,1440,48.02926,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,蹲下(最低點),1455,48.524445,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,步伐腳跟著地,1465,48.857986,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,起跳(雙腳離地),1488,49.600438,"nan"
260121_發球_08_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),1492,49.747493,"nan"
