Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_03_01_LF_240.mov,260113,LF,站定準備,156,5.230718,"抛球不標準;下蹲不完整;未在最高點擊球"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,168,5.630714,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,拋球(球位於最低點),170,5.69737,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,拋球(球離手),179,5.997365,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,185,6.199994,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,蹲下(最低點),190,6.366661,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,192,6.433324,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,起跳(雙腳離地),198,6.633324,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,抬擊球手前1幀,200,6.699986,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,擊球(瞬間),205,6.866645,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),206,6.899981,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,球離手(瞬間),206,6.899978,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,手肘到前,207,6.933313,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,落地(腳著地瞬間),212,7.099975,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,站定準備,417,13.933308,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,442,14.766666,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,拋球(球位於最低點),444,14.833284,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,拋球(球離手),452,15.099945,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,459,15.333333,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,蹲下(最低點),471,15.733258,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,步伐腳跟著地,482,16.099977,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,抬擊球手前1幀,498,16.633204,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,起跳(雙腳離地),516,17.233237,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,擊球(瞬間),536,17.899838,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,球離手(瞬間),537,17.933171,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),544,18.166522,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,手肘到前,555,18.533185,"nan"
260113_發球_03_01_LF_240.mov,260113,LF,落地(腳著地瞬間),564,18.833161,"nan"
260113_發球_03_01_RF_240.mov,260113,RF,站定準備,193,6.457655,"nan"
260113_發球_03_01_X_30.mp4,260113,X,站定準備,135,4.51908,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,站定準備,151,5.051379,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,步伐腳跟著地,167,5.599942,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,拋球(球位於最低點),170,5.699933,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,拋球(球離手),178,5.966593,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,步伐腳跟著地,180,6.033333,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,蹲下(最低點),185,6.199915,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,步伐腳跟著地,191,6.399986,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,起跳(雙腳離地),194,6.499904,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,抬擊球手前1幀,195,6.533234,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,躬身(拉到角度最大時),202,6.766543,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,擊球(瞬間),204,6.83322,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,球離手(瞬間),205,6.866545,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,手肘到前,206,6.899886,"nan"
260113_發球_03_01_Y_30.mp4,260113,Y,落地(腳著地瞬間),209,6.999862,"nan"
260113_發球_03_02_LF_240.mov,260113,LF,站定準備,189,6.323487,"nan"
