Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_09_01_LF_240.mov,260113,LF,站定準備,0,0,"nan"
260113_發球_09_02_X_30.mp4,260113,X,站定準備,76,2.542204,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,151,5.042179,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,169,5.642172,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),170,5.675504,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),180,6.008834,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,183,6.108833,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),187,6.242165,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,187,6.242165,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,189,6.308831,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),194,6.475496,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),196,6.542161,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,199,6.64216,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),201,6.708826,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),202,6.742159,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),207,6.908824,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,393,13.102701,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,412,13.736023,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),414,13.802689,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),422,14.069353,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,426,14.202685,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),430,14.336017,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,430,14.336016,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,432,14.402682,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),437,14.569347,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),440,14.669346,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,444,14.802677,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),445,14.83601,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),447,14.902676,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),451,15.036007,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,622,20.754954,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,641,21.388281,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),642,21.421613,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),652,21.754943,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,656,21.888275,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),660,22.021607,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,660,22.021607,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,662,22.088273,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),667,22.254938,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),670,22.354937,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,673,22.454936,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),675,22.521602,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),676,22.554935,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),680,22.688267,"單腳落地"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,871,29.046959,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,890,29.699978,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),891,29.73331,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),900,30.033307,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,904,30.166639,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),907,30.266638,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,908,30.299971,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,910,30.366637,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),914,30.499969,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),917,30.599967,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,921,30.733298,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),923,30.799963,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),924,30.833296,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),928,30.966628,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1083,36.125325,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1101,36.725318,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1102,36.75865,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1111,37.058647,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1116,37.225312,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1119,37.325311,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1119,37.325311,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1122,37.42531,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1126,37.558642,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1130,37.691973,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1132,37.758639,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1134,37.825304,"未在最高點擊球"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1134,37.833333,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1139,37.999998,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1311,43.724448,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1329,44.324442,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1331,44.391108,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1338,44.624439,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1343,44.791104,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1346,44.891102,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1347,44.924435,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1349,44.9911,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1353,45.124432,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1357,45.257764,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1359,45.32443,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1361,45.391096,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1362,45.424429,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1366,45.557761,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1542,51.407557,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1561,52.040883,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1563,52.107549,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1572,52.407543,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1576,52.540875,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1579,52.640874,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1580,52.674207,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1582,52.740873,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1586,52.874205,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1591,53.04087,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1593,53.107536,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1595,53.174202,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1596,53.207534,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1600,53.340866,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1767,58.920927,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1784,59.487588,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1786,59.554254,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1795,59.854251,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1798,59.954249,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1803,60.120914,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1803,60.120914,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1805,60.18758,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1809,60.320912,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1813,60.454244,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1816,60.554243,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1818,60.620909,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1819,60.654242,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1823,60.787574,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2010,67.010988,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2028,67.610981,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),2030,67.677647,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),2039,67.977643,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2042,68.077641,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),2046,68.210973,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,2047,68.244306,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2049,68.310972,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),2053,68.444304,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2057,68.577636,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,2060,68.677634,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),2062,68.7443,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),2063,68.777633,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),2067,68.910965,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2261,75.393777,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2280,76.027101,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),2282,76.093767,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),2290,76.36043,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2294,76.493761,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),2298,76.627092,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,2298,76.627091,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2301,76.72709,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),2304,76.827088,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2308,76.96042,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,2310,77.027084,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),2312,77.09375,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),2313,77.127083,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),2318,77.293748,"nan"
260113_發球_09_02_Y_30.mp4,260113,Y,站定準備,76,2.562559,"nan"
260121_發球_09_02_X2_30.mp4,260121,X2,站定準備,199,6.642597,"nan"
260121_發球_09_02_X_30.mp4,260121,X,站定準備,81,2.725846,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,172,5.766666,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,191,6.399992,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球位於最低點),193,6.466658,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球離手),202,6.766655,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,205,6.866653,""
260121_發球_09_02_X_30.mp4,260121,X,蹲下(最低點),209,6.999984,""
260121_發球_09_02_X_30.mp4,260121,X,抬擊球手前1幀,209,6.999984,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,211,7.066649,""
260121_發球_09_02_X_30.mp4,260121,X,起跳(雙腳離地),215,7.199981,""
260121_發球_09_02_X_30.mp4,260121,X,躬身(拉到角度最大時),219,7.333313,""
260121_發球_09_02_X_30.mp4,260121,X,手肘到前,220,7.366645,""
260121_發球_09_02_X_30.mp4,260121,X,擊球(瞬間),223,7.466665,""
260121_發球_09_02_X_30.mp4,260121,X,球離手(瞬間),224,7.499998,""
260121_發球_09_02_X_30.mp4,260121,X,落地(腳著地瞬間),229,7.666662,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,383,12.787614,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,401,13.387608,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球位於最低點),402,13.420941,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球離手),412,13.754262,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,415,13.854261,""
260121_發球_09_02_X_30.mp4,260121,X,蹲下(最低點),418,13.95426,""
260121_發球_09_02_X_30.mp4,260121,X,抬擊球手前1幀,419,13.987593,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,421,14.054259,""
260121_發球_09_02_X_30.mp4,260121,X,起跳(雙腳離地),425,14.187591,""
260121_發球_09_02_X_30.mp4,260121,X,躬身(拉到角度最大時),428,14.287589,""
260121_發球_09_02_X_30.mp4,260121,X,手肘到前,431,14.387588,""
260121_發球_09_02_X_30.mp4,260121,X,擊球(瞬間),432,14.42092,""
260121_發球_09_02_X_30.mp4,260121,X,球離手(瞬間),433,14.454253,""
260121_發球_09_02_X_30.mp4,260121,X,落地(腳著地瞬間),437,14.587585,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,599,19.982588,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,618,20.615914,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球位於最低點),620,20.68258,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球離手),629,20.982577,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,632,21.082575,""
260121_發球_09_02_X_30.mp4,260121,X,蹲下(最低點),636,21.215907,""
260121_發球_09_02_X_30.mp4,260121,X,抬擊球手前1幀,637,21.24924,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,638,21.282572,""
260121_發球_09_02_X_30.mp4,260121,X,起跳(雙腳離地),643,21.449236,""
260121_發球_09_02_X_30.mp4,260121,X,躬身(拉到角度最大時),646,21.549234,""
260121_發球_09_02_X_30.mp4,260121,X,手肘到前,647,21.582567,""
260121_發球_09_02_X_30.mp4,260121,X,擊球(瞬間),648,21.633333,"未在最高點擊球"
260121_發球_09_02_X_30.mp4,260121,X,球離手(瞬間),650,21.699999,""
260121_發球_09_02_X_30.mp4,260121,X,落地(腳著地瞬間),654,21.833333,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,808,26.965849,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,826,27.565842,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球位於最低點),828,27.632508,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球離手),837,27.932505,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,840,28.032503,""
260121_發球_09_02_X_30.mp4,260121,X,蹲下(最低點),844,28.165835,""
260121_發球_09_02_X_30.mp4,260121,X,抬擊球手前1幀,845,28.199168,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,846,28.2325,""
260121_發球_09_02_X_30.mp4,260121,X,起跳(雙腳離地),850,28.365831,""
260121_發球_09_02_X_30.mp4,260121,X,躬身(拉到角度最大時),855,28.532495,""
260121_發球_09_02_X_30.mp4,260121,X,手肘到前,858,28.632492,""
260121_發球_09_02_X_30.mp4,260121,X,擊球(瞬間),859,28.665825,""
260121_發球_09_02_X_30.mp4,260121,X,球離手(瞬間),860,28.699158,""
260121_發球_09_02_X_30.mp4,260121,X,落地(腳著地瞬間),864,28.83249,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,1026,34.230755,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,1044,34.830748,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球位於最低點),1046,34.897414,""
260121_發球_09_02_X_30.mp4,260121,X,拋球(球離手),1056,35.230744,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,1059,35.330742,""
260121_發球_09_02_X_30.mp4,260121,X,蹲下(最低點),1063,35.464074,""
260121_發球_09_02_X_30.mp4,260121,X,抬擊球手前1幀,1064,35.497407,""
260121_發球_09_02_X_30.mp4,260121,X,步伐腳跟著地,1065,35.530737,""
260121_發球_09_02_X_30.mp4,260121,X,起跳(雙腳離地),1069,35.664068,""
