Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_09_01_L_240.mov,260113,L,站定準備,78,2.627845,""
260121_舉球_09_04_X2_30.mp4,260121,X2,站定準備,38,1.268373,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,89,2.968968,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,101,3.368964,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),106,3.535629,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),110,3.668961,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),117,3.902291,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),119,3.968957,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,191,6.378302,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,209,6.978296,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,222,7.411625,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),225,7.511624,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),228,7.611623,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),238,7.944953,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),240,8.011619,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,317,10.583557,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,328,10.95022,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,337,11.250215,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),341,11.383545,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),345,11.516877,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),355,11.850207,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),356,11.883538,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,427,14.260603,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,441,14.727265,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,453,15.127261,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),457,15.260593,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),461,15.393925,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),468,15.627253,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),470,15.693919,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,546,18.200725,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,560,18.667387,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,569,18.967384,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),573,19.100716,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),579,19.300714,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),589,19.634043,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),590,19.667376,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,669,22.316598,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,682,22.749927,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,693,23.116589,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),702,23.416586,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),706,23.549918,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),714,23.816582,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),716,23.883248,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,800,26.679794,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,817,27.246455,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,829,27.646451,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),834,27.813114,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),838,27.946446,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),845,28.179777,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),846,28.213109,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,933,31.105295,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,949,31.638623,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,960,32.005284,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),964,32.138613,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),964,32.138613,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),968,32.271945,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),974,32.471942,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),975,32.505274,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1059,35.312011,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1073,35.778671,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1084,36.145334,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1090,36.34533,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),1093,36.445328,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),1101,36.711992,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),1102,36.745325,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1203,40.10345,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1216,40.536773,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,步伐腳跟著地,1226,40.870103,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1232,41.070101,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,蹲下(位於最低點),1237,41.236766,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,手觸球(瞬間),1245,41.50343,"nan"
260121_舉球_09_04_X2_30.mp4,260121,X2,球離手(瞬間),1247,41.570096,"nan"
260121_舉球_09_04_X_30.mp4,260121,X,站定準備,21,0.703841,"nan"
260121_舉球_09_04_Y_30.mp4,260121,Y,站定準備,30,1.002706,"nan"
