Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_10_01_LF_240.mov,260113,LF,站定準備,77,2.587488,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,174,5.803064,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,190,6.361707,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),194,6.485703,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),201,6.714786,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,205,6.848117,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,205,6.848109,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),210,7.014772,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,211,7.048105,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),216,7.214765,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),217,7.248096,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,220,7.348094,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),222,7.414759,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),223,7.448092,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),228,7.614755,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,420,14.033313,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,481,16.053678,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),496,16.56237,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),528,17.622937,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,539,17.974445,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,547,18.241101,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),559,18.641096,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,562,18.741094,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),581,19.38131,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),592,19.765967,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,607,20.24724,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),611,20.380571,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),612,20.413904,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),636,21.214826,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,1523,50.783257,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,1581,52.707532,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),1598,53.290171,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),1629,54.302518,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,1640,54.669179,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,1651,55.03584,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),1661,55.369169,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,1663,55.435835,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),1679,55.971143,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),1689,56.30447,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,1706,56.873424,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),1711,57.040089,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),1713,57.106755,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),1733,57.782203,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,2681,89.37922,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,2740,91.350196,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),2755,91.863947,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),2782,92.743406,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,2796,93.220036,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,2802,93.420032,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),2813,93.786695,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,2814,93.820027,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),2835,94.520019,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),2847,94.920014,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,2862,95.420648,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),2867,95.587313,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),2868,95.620646,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),2892,96.428306,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,3686,122.872538,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,3744,124.801413,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),3759,125.326785,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),3788,126.279929,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,3800,126.680204,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,3808,126.946867,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),3820,127.346862,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,3821,127.380195,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),3839,127.988024,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),3848,128.288017,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,3862,128.75438,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),3866,128.88771,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),3867,128.921043,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),3893,129.795916,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,4707,156.901208,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,4761,158.703662,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),4779,159.323957,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),4807,160.238781,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,4819,160.644595,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,4828,160.949964,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),4838,161.283293,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,4838,161.283293,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),4856,161.881666,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),4866,162.2301,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,4883,162.7929,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),4888,162.959564,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),4889,162.992897,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),4910,163.675615,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,5647,188.242272,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,5712,190.432574,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),5726,190.895515,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),5753,191.783017,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,5770,192.349677,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,5773,192.437561,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),5788,192.965799,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,5788,192.965799,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),5808,193.604647,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),5816,193.87722,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,5833,194.464667,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),5836,194.564666,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),5837,194.597996,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),5863,195.43691,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,6649,221.640944,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,6712,223.744973,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),6733,224.453499,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),6757,225.237318,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,6772,225.749699,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,6782,226.089086,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),6790,226.355749,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,6790,226.355749,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),6809,226.967421,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),6818,227.275995,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,6837,227.931643,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),6844,228.1634,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),6845,228.196733,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),6863,228.789332,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,7621,254.038027,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,7682,256.089689,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),7701,256.717083,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球離手),7726,257.545969,"非慣用手未下壓 "
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,7738,257.945959,"腳尖著地"
260113_發球_10_01_LF_240.mov,260113,LF,抬擊球手前1幀,7751,258.379281,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,蹲下(最低點),7760,258.679276,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,7760,258.679276,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,起跳(雙腳離地),7777,259.257993,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),7789,259.63753,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,手肘到前,7810,260.36082,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,擊球(瞬間),7815,260.527472,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,球離手(瞬間),7816,260.560805,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,落地(腳著地瞬間),7830,261.02746,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,8094,269.806435,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,步伐腳跟著地,8109,270.30425,"nan"
260113_發球_10_01_LF_240.mov,260113,LF,拋球(球位於最低點),8113,270.437581,"nan"
