Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,52,1.750118,"nan"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,192,6.417358,"雙手施力不均"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,374,12.490378,"nan"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,711,23.707715,"站位偏移"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,843,28.117523,"卡位移動補償"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,978,32.607447,"雙手間距太開"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,1245,41.507378,"卡位未轉正"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,1369,45.64294,"雙手間距太開"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,1515,50.50623,"nan"
260121_舉球_03_03_Y_30.mp4,260121,Y,站定準備,1645,54.837008,"nan"
