Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_09_01_LF_240.mov,260113,LF,站定準備,183,6.116603,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,步伐腳跟著地,267,8.916569,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,拋球(球位於最低點),269,8.983225,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,拋球(球離手),277,9.249871,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,蹲下(最低點),284,9.483199,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,抬擊球手前1幀,284,9.483185,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,起跳(雙腳離地),291,9.71653,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),292,9.749849,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,手肘到前,295,9.849846,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,擊球(瞬間),297,9.916511,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,球離手(瞬間),298,9.949844,"nan"
260113_發球_09_01_LF_240.mov,260113,LF,落地(腳著地瞬間),305,10.183175,"nan"
260113_發球_09_02_X_30.mp4,260113,X,站定準備,76,2.542204,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,151,5.042179,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,169,5.642172,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),170,5.675504,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),180,6.008834,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,183,6.108833,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),187,6.242165,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,187,6.242165,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,189,6.308831,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),194,6.475496,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),196,6.542161,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,199,6.64216,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),201,6.708826,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),202,6.742159,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),207,6.908824,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,393,13.102701,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,412,13.736023,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),414,13.802689,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),422,14.069353,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,426,14.202685,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),430,14.336017,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,430,14.336016,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,432,14.402682,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),437,14.569347,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),440,14.669346,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,444,14.802677,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),445,14.83601,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),447,14.902676,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),451,15.036007,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,622,20.754954,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,641,21.388281,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),642,21.421613,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),652,21.754943,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,656,21.888275,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),660,22.021607,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,660,22.021607,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,662,22.088273,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),667,22.254938,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),670,22.354937,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,673,22.454936,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),675,22.521602,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),676,22.554935,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),680,22.688267,"單腳落地"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,871,29.046959,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,890,29.699978,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),891,29.73331,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),900,30.033307,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,904,30.166639,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),907,30.266638,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,908,30.299971,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,910,30.366637,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),914,30.499969,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),917,30.599967,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,921,30.733298,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),923,30.799963,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),924,30.833296,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),928,30.966628,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1083,36.125325,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1101,36.725318,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1102,36.75865,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1111,37.058647,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1116,37.225312,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1119,37.325311,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1119,37.325311,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1122,37.42531,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1126,37.558642,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1130,37.691973,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1132,37.758639,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1134,37.825304,"未在最高點擊球"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1134,37.833333,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1139,37.999998,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1311,43.724448,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1329,44.324442,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1331,44.391108,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1338,44.624439,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1343,44.791104,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1346,44.891102,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1347,44.924435,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1349,44.9911,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1353,45.124432,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1357,45.257764,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1359,45.32443,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1361,45.391096,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1362,45.424429,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1366,45.557761,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1542,51.407557,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1561,52.040883,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1563,52.107549,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1572,52.407543,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1576,52.540875,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1579,52.640874,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1580,52.674207,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1582,52.740873,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1586,52.874205,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1591,53.04087,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1593,53.107536,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1595,53.174202,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1596,53.207534,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1600,53.340866,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1767,58.920927,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1784,59.487588,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),1786,59.554254,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),1795,59.854251,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1798,59.954249,"nan"
260113_發球_09_02_X_30.mp4,260113,X,蹲下(最低點),1803,60.120914,"nan"
260113_發球_09_02_X_30.mp4,260113,X,抬擊球手前1幀,1803,60.120914,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,1805,60.18758,"nan"
260113_發球_09_02_X_30.mp4,260113,X,起跳(雙腳離地),1809,60.320912,"nan"
260113_發球_09_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1813,60.454244,"nan"
260113_發球_09_02_X_30.mp4,260113,X,手肘到前,1816,60.554243,"nan"
260113_發球_09_02_X_30.mp4,260113,X,擊球(瞬間),1818,60.620909,"nan"
260113_發球_09_02_X_30.mp4,260113,X,球離手(瞬間),1819,60.654242,"nan"
260113_發球_09_02_X_30.mp4,260113,X,落地(腳著地瞬間),1823,60.787574,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2010,67.010988,"nan"
260113_發球_09_02_X_30.mp4,260113,X,步伐腳跟著地,2028,67.610981,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球位於最低點),2030,67.677647,"nan"
260113_發球_09_02_X_30.mp4,260113,X,拋球(球離手),2039,67.977643,"nan"
