Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_09_01_L_240.mov,260121,L,站定準備,358,11.943202,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,848,28.26741,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,1317,43.92306,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,1754,58.486419,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,2214,73.812632,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,2646,88.219738,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,3148,104.953771,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,3613,120.454474,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,4131,137.727493,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,4656,155.203549,""
260121_舉球_09_01_L_240.mov,260121,L,站定準備,5097,169.906899,""
