Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,177,5.933253,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,312,10.410241,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),328,10.966661,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),369,12.333314,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,373,12.466665,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,374,12.499999,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),397,13.266656,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,415,13.836844,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),441,14.733308,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),448,14.966636,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,454,15.166658,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),458,15.299965,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),459,15.333298,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),480,16.033316,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,1512,50.432165,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,1559,51.997009,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),1588,52.963626,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,1626,54.233281,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),1629,54.330275,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,1632,54.430277,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),1654,55.1636,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,1677,55.933318,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),1703,56.795134,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),1704,56.828465,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,1715,57.195126,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),1720,57.36179,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),1721,57.395123,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),1741,58.061783,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,2585,86.194004,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,2652,88.410001,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),2674,89.143322,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,2707,90.243311,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),2716,90.566666,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,2721,90.709972,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),2744,91.499981,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,2763,92.133314,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),2792,93.099965,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),2793,93.133304,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,2805,93.5333,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),2810,93.699965,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),2812,93.76663,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),2828,94.299958,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,3557,118.572835,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,3614,120.492046,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),3636,121.211784,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,3675,122.533328,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),3679,122.657667,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,3684,122.814404,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),3706,123.557675,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,3727,124.245972,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),3756,125.223683,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),3756,125.22368,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,3767,125.599995,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),3771,125.733325,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),3773,125.799991,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),3791,126.372916,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,4536,151.208131,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,4607,153.579014,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),4618,153.945677,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),4674,155.8221,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,4676,155.899999,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,4679,155.999998,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),4702,156.747811,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,4722,157.429858,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),4748,158.282575,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),4749,158.315908,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,4764,158.809451,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),4770,159.008031,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),4771,159.041364,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),4788,159.609471,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,5474,182.489564,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,5558,185.284081,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),5586,186.232947,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,5619,187.303723,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),5628,187.620524,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,5630,187.674995,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),5655,188.517375,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,5676,189.206383,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),5701,190.04213,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),5701,190.053033,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,5716,190.542125,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),5720,190.675457,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),5722,190.742123,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),5739,191.304558,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,6418,213.96474,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,6463,215.466184,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),6489,216.333324,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),6528,217.621084,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,6532,217.754426,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,6534,217.833332,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),6555,218.524377,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,6568,218.952568,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),6599,219.988276,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),6602,220.086503,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,6616,220.543198,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),6620,220.676529,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),6622,220.743195,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),6636,221.222408,"單腳落地"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,7401,246.712089,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,7487,249.575059,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),7514,250.466674,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),7549,251.633616,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,7552,251.76093,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,7560,252.00931,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),7575,252.521291,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,7592,253.084203,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),7618,253.947618,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),7626,254.228769,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,7637,254.590328,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),7641,254.718089,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),7643,254.784755,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),7657,255.259523,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,8420,280.69865,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,8508,283.622759,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),8525,284.186945,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),8571,285.725734,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,8573,285.769665,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,8577,285.933331,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),8597,286.594072,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,8614,287.166554,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),8643,288.133328,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),8647,288.234857,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,8655,288.523208,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),8659,288.656537,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),8661,288.723203,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),8676,289.215997,"單腳落地"
260121_發球_14_01_LF_240.mov,260121,LF,站定準備,9413,313.786488,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,9492,316.420317,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球位於最低點),9516,317.216204,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,抬擊球手前1幀,9544,318.163469,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,拋球(球離手),9557,318.591698,"輔手未抬"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,9563,318.770663,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,蹲下(最低點),9584,319.4804,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,步伐腳跟著地,9601,320.040445,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,起跳(雙腳離地),9627,320.930816,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),9628,320.934214,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,手肘到前,9643,321.464596,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,擊球(瞬間),9649,321.636427,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,球離手(瞬間),9650,321.66976,"nan"
260121_發球_14_01_LF_240.mov,260121,LF,落地(腳著地瞬間),9662,322.090251,"單腳落地"
260121_發球_14_01_RF_240.mov,260121,RF,站定準備,486,16.226168,"nan"
260121_發球_14_01_RF_240.mov,260121,RF,站定準備,1749,58.331587,"nan"
