Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_14_01_L_240.mov,260121,L,站定準備,328,10.954003,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,887,29.577102,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,1462,48.734441,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,2013,67.102328,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,2482,82.743167,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,3025,100.840568,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,3573,119.115956,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,4053,135.112002,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,4577,152.585066,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,5182,172.73825,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,367,12.235954,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,578,19.27146,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,642,21.411591,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),652,21.740124,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),675,22.511417,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),693,23.131995,"雙手施力不均"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),696,23.231993,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,954,31.828707,"擊球時機不當;雙腳間距太小;卡位未在額頭前70~90度間"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1028,34.271021,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1103,36.770996,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),1135,37.837652,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),1149,38.304299,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),1170,39.004291,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),1173,39.10429,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,1495,49.861123,"雙手施力不均"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1562,52.066885,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1626,54.218398,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),1692,56.418376,"下蹲不足;卡位移動補償"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),1711,57.066633,"擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),1715,57.199987,"擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,2064,68.816529,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2121,70.713447,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2190,73.013424,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),2229,74.313389,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),2232,74.413409,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),2253,75.113381,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),2258,75.280046,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,2524,84.146586,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2617,87.253501,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2676,89.220139,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),2718,90.620108,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),2726,90.886764,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),2749,91.653422,"手臂角度異常;雙手施力不均;擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),2753,91.786754,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,3084,102.825501,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3146,104.881752,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3220,107.348389,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),3272,109.081705,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),3285,109.515034,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),3302,110.081692,"雙手施力不均;擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),3306,110.215019,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,3606,120.224809,"雙手施力不均;擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3676,122.56118,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3743,124.794485,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),3767,125.594477,"卡位移動補償"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),3775,125.861138,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),3804,126.827794,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),3808,126.961126,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,4115,137.184114,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4171,139.034971,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4258,141.934942,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),4295,143.168251,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),4300,143.334927,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),4321,144.034906,"雙手施力不均"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),4326,144.201571,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,4638,154.618875,"雙手施力不均"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4682,156.078455,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4776,159.231415,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),4820,160.6703,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),4831,161.036949,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),4848,161.603604,"雙手施力不均;擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),4853,161.770269,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,5234,174.499481,"雙手施力不均;擊球時機不當"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,5300,176.685016,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,5348,178.284969,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),5391,179.718264,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),5394,179.818256,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),5413,180.45158,"雙手施力不均;擊球時機不當;卡位未在額頭前70~90度間"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),5418,180.618245,"nan"
260121_舉球_14_02_L_240.mov,260121,L,站定準備,312,10.400613,""
