Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_08_02_X_30.mp4,260113,X,站定準備,161,5.396946,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,229,7.666664,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),242,8.099997,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),243,8.13333,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,244,8.166664,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),250,8.33963,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,252,8.433246,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),256,8.539628,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),259,8.666655,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,263,8.799998,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,264,8.833331,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),265,8.866664,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),266,8.899997,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),270,9.033325,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,449,14.983545,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,469,15.666627,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,485,16.199954,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),498,16.633279,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),498,16.633303,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,500,16.699945,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),506,16.899937,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,507,16.933275,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),514,17.166659,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,518,17.29993,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,519,17.333249,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),520,17.366582,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),524,17.499912,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,672,22.408195,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,692,23.074855,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,708,23.608183,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),720,24.008176,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),721,24.066665,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,722,24.074842,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),728,24.274822,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,730,24.341488,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),737,24.57481,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,740,24.674792,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,741,24.708139,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),742,24.741471,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),743,24.774797,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),746,24.874803,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,907,30.255922,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,927,30.922582,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,943,31.45591,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),955,31.834154,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),956,31.899995,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,957,31.922572,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),962,32.067484,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,963,32.122565,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),968,32.267474,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),971,32.367462,"nan"
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,975,32.500788,"nan"
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,976,32.534126,"nan"
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),977,32.567459,"nan"
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),978,32.600786,"nan"
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),981,32.722555,"nan"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,1144,38.153686,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1160,38.687014,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1176,39.220342,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),1187,39.599984,"nan"
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),1188,39.633318,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1189,39.653669,"nan"
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1194,39.83331,"nan"
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1196,39.886999,"nan"
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1201,40.053659,"nan"
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1204,40.166637,"nan"
