Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_01_01_LF_240.mov,260121,LF,站定準備,981,32.704768,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,1044,34.808263,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球位於最低點),1090,36.336811,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,1091,36.370158,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球離手),1112,37.070127,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,1143,38.10345,""
260121_發球_01_01_LF_240.mov,260121,LF,抬擊球手前1幀,1149,38.303447,""
260121_發球_01_01_LF_240.mov,260121,LF,蹲下(最低點),1157,38.570104,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,1159,38.636777,""
260121_發球_01_01_LF_240.mov,260121,LF,起跳(雙腳離地),1181,39.370096,""
260121_發球_01_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),1191,39.703426,""
260121_發球_01_01_LF_240.mov,260121,LF,手肘到前,1207,40.236754,""
260121_發球_01_01_LF_240.mov,260121,LF,擊球(瞬間),1212,40.403419,""
260121_發球_01_01_LF_240.mov,260121,LF,球離手(瞬間),1216,40.536751,""
260121_發球_01_01_LF_240.mov,260121,LF,落地(腳著地瞬間),1233,41.103412,""
260121_發球_01_01_LF_240.mov,260121,LF,站定準備,2095,69.844166,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,2211,73.716565,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,2251,75.049885,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球位於最低點),2253,75.116551,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,2258,75.283211,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球離手),2281,76.066666,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,2313,77.133322,""
260121_發球_01_01_LF_240.mov,260121,LF,抬擊球手前1幀,2325,77.533327,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,2328,77.633317,""
260121_發球_01_01_LF_240.mov,260121,LF,蹲下(最低點),2329,77.666666,""
260121_發球_01_01_LF_240.mov,260121,LF,起跳(雙腳離地),2352,78.406615,""
260121_發球_01_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),2366,78.873277,""
260121_發球_01_01_LF_240.mov,260121,LF,手肘到前,2380,79.339939,""
260121_發球_01_01_LF_240.mov,260121,LF,擊球(瞬間),2386,79.539937,""
260121_發球_01_01_LF_240.mov,260121,LF,球離手(瞬間),2388,79.633332,""
260121_發球_01_01_LF_240.mov,260121,LF,落地(腳著地瞬間),2397,79.933327,""
260121_發球_01_01_LF_240.mov,260121,LF,站定準備,3217,107.2475,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,3273,109.133323,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球位於最低點),3319,110.663373,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,3326,110.896792,""
260121_發球_01_01_LF_240.mov,260121,LF,拋球(球離手),3351,111.719822,""
260121_發球_01_01_LF_240.mov,260121,LF,步伐腳跟著地,3381,112.71981,""
