Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_01_03_R_240.mov,260121,R,站定準備,459,15.317219,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,993,33.11818,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,1895,63.188561,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,2609,86.998841,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,3131,104.393401,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,3586,119.535416,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,4123,137.448107,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,4600,153.35833,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,5098,169.956736,""
260121_舉球_01_03_R_240.mov,260121,R,站定準備,5696,189.879747,""
