Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,128,4.292582,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,249,8.303404,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,528,17.62394,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,664,22.145681,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,795,26.516705,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,906,30.221365,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,1037,34.593822,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,1159,38.650286,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,1287,42.921766,""
260121_舉球_01_03_X2_30.mp4,260121,X2,站定準備,1431,47.720337,""
