Video,Date,View,Action,Frame,Time_Sec,Faults
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,955,31.849684,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1050,35.016314,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),1151,38.382947,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1168,38.949608,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),1268,42.282908,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1273,42.449573,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,1301,43.382897,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),1330,44.349551,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1335,44.51621,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),1389,46.316192,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),1402,46.74952,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,1427,47.582845,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),1440,48.016174,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),1442,48.082839,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),1485,49.516158,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,3054,101.830124,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3215,107.196737,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),3315,110.520641,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3327,110.920637,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),3426,114.220604,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3430,114.353936,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,3459,115.320593,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),3494,116.481176,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3499,116.636654,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),3548,118.289592,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),3565,118.856252,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,3589,119.656243,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),3603,120.122905,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),3605,120.189571,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),3645,121.531862,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,5348,178.294342,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5481,182.713441,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),5594,186.482615,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5604,186.815945,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),5707,190.25528,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5710,190.355279,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,5739,191.321935,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),5776,192.555253,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5782,192.755251,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),5831,194.388568,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),5844,194.821897,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,5874,195.821886,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),5887,196.255215,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),5890,196.355214,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),5927,197.588535,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,7698,256.616308,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,7819,260.654749,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),7930,264.354699,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,7936,264.554683,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),8036,267.892905,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,8041,268.059551,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,8069,268.971786,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),8104,270.138441,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,8107,270.23844,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),8159,271.971756,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),8182,272.738415,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,8206,273.538405,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),8218,273.938401,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),8220,274.003332,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),8255,275.169987,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,10192,339.744334,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,10359,345.303763,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),10464,348.803728,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,10467,348.903727,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),10563,352.103694,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,10570,352.337025,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,10600,353.345858,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),10633,354.445845,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,10639,354.645843,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),10688,356.28625,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),10720,357.352906,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,10740,358.019565,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),10754,358.486227,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),10757,358.586226,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),10793,359.786204,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,12455,415.172385,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,12536,417.872348,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),12628,420.938984,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,12646,421.538978,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),12743,424.772279,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,12753,425.103333,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,12772,425.736659,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),12812,427.069974,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,12817,427.236639,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),12868,428.936622,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),12887,429.569949,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,12911,430.36994,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),12924,430.803269,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),12926,430.869935,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),12967,432.236588,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,14834,494.498531,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,14912,497.086291,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),15015,500.51959,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,15025,500.85292,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),15122,504.086221,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,15134,504.486217,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,15161,505.386177,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),15194,506.486163,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,15200,506.686161,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),15248,508.286145,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),15274,509.152803,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,15298,509.952777,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),15312,510.419438,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),15315,510.519437,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),15352,511.752758,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,17131,571.037534,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,17219,573.970826,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),17322,577.404045,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,17334,577.804041,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),17432,581.070675,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,17439,581.304006,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,17461,582.037312,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),17501,583.37062,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,17510,583.670617,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),17559,585.303934,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),17586,586.203923,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,17606,586.870583,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),17621,587.370578,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),17623,587.437242,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),17660,588.670563,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,19589,652.976284,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,19695,656.526575,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),19803,660.113191,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,19811,660.379855,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),19904,663.47982,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,19914,663.813145,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,19929,664.313108,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),19978,665.946424,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,19982,666.079756,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),20035,667.846405,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),20059,668.646396,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,20082,669.413051,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),20095,669.84638,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),20097,669.913042,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),20133,671.11303,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,站定準備,21848,728.284204,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,21947,731.584156,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),22048,734.950785,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,22053,735.117424,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,拋球(球離手),22157,738.584056,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,22166,738.884053,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,22184,739.484037,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,蹲下(最低點),22225,740.850689,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,步伐腳跟著地,22231,741.050687,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),22280,742.684004,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),22305,743.517326,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,手肘到前,22326,744.217318,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,擊球(瞬間),22340,744.68398,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,球離手(瞬間),22342,744.750646,""
02_追加/260113_發球_02_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),22381,746.050633,""
