Video,Date,View,Action,Frame,Time_Sec,Faults
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,529,17.658519,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,2323,77.44499,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,3433,114.442863,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,4353,145.101309,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,5165,172.169481,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,6133,204.457103,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,7007,233.5896,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,7883,262.776046,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,8776,292.537652,""
02_追加/260113_發球_02_02_LF_240_2.mov,260113,LF,站定準備,10184,339.494016,""
