Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,136,4.535914,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,341,11.392301,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,555,18.525188,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,772,25.759443,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,984,32.820276,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,1199,39.991329,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,1409,46.97046,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,1619,53.986227,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,1852,61.766479,""
260121_發球_02_01_X2_30.mp4,260121,X2,站定準備,2045,68.184515,""
