Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_04_02_RF_240.mov,260113,RF,站定準備,179,5.9999,""
260113_發球_04_02_RF_240.mov,260113,RF,步伐腳跟著地,187,6.266661,""
260113_發球_04_02_RF_240.mov,260113,RF,步伐腳跟著地,202,6.766655,""
260113_發球_04_02_RF_240.mov,260113,RF,拋球(球位於最低點),206,6.899986,""
260113_發球_04_02_RF_240.mov,260113,RF,拋球(球離手),214,7.166648,""
260113_發球_04_02_RF_240.mov,260113,RF,步伐腳跟著地,216,7.233313,""
260113_發球_04_02_RF_240.mov,260113,RF,蹲下(最低點),225,7.533301,""
260113_發球_04_02_RF_240.mov,260113,RF,步伐腳跟著地,226,7.566643,""
260113_發球_04_02_RF_240.mov,260113,RF,抬擊球手前1幀,227,7.599955,""
260113_發球_04_02_RF_240.mov,260113,RF,起跳(雙腳離地),231,7.733295,""
260113_發球_04_02_RF_240.mov,260113,RF,躬身(拉到角度最大時),236,7.899951,""
260113_發球_04_02_RF_240.mov,260113,RF,手肘到前,239,7.999947,""
260113_發球_04_02_RF_240.mov,260113,RF,擊球(瞬間),240,8.033331,""
260113_發球_04_02_RF_240.mov,260113,RF,球離手(瞬間),241,8.066663,""
260113_發球_04_02_RF_240.mov,260113,RF,落地(腳著地瞬間),245,8.199994,""
