Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_04_01_X_30.mp4,260121,X,站定準備,215,7.185783,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,508,16.940038,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,753,25.106794,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,978,32.613287,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,1198,39.96142,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,1433,47.767729,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,1655,55.184031,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,1880,62.674698,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,2074,69.143412,""
260121_發球_04_01_X_30.mp4,260121,X,站定準備,2311,77.043002,""
