Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,33,1.114092,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,50,1.694752,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,77,2.594743,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),77,2.594743,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),85,2.861407,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,87,2.928069,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),93,3.128066,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,97,3.261397,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),101,3.394729,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),106,3.561394,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,109,3.661392,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,110,3.699998,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),111,3.733331,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),112,3.766664,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),124,4.143607,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,327,10.90468,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,361,12.037939,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,378,12.604599,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),383,12.771256,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),391,13.037919,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,392,13.07125,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),398,13.271248,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,403,13.437913,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),407,13.571244,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),413,13.77124,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,415,13.866664,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,416,13.899997,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),417,13.93333,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),418,13.966663,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),431,14.373952,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,616,20.536223,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,636,21.210578,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,652,21.743906,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),659,21.977229,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),667,22.243893,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,670,22.343891,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),675,22.510553,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,679,22.643885,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),685,22.843882,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),690,23.010544,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,692,23.077205,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,693,23.133331,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),694,23.166664,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),695,23.199997,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),707,23.572788,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,895,29.847002,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,902,30.080333,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,913,30.446996,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),920,30.680326,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),929,30.980323,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,930,31.013652,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),937,31.246983,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,942,31.413648,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),946,31.546978,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),951,31.71364,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,953,31.780304,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,954,31.833332,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),955,31.866665,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),956,31.899998,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),968,32.286408,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,1146,38.210466,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1170,39.031854,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1189,39.665181,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),1192,39.765174,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),1201,40.065163,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1202,40.098496,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),1209,40.331827,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1215,40.531825,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),1217,40.598491,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),1222,40.765156,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,1224,40.831818,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),1226,40.899999,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),1227,40.933332,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),1244,41.476465,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,1416,47.228798,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1431,47.715542,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1449,48.302473,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),1452,48.433333,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),1462,48.766661,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1464,48.833325,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),1469,48.99999,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1475,49.199988,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),1479,49.33332,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),1484,49.499985,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,1486,49.566648,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,1487,49.59998,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),1488,49.633313,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),1489,49.666646,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),1497,49.912754,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,1673,55.783824,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1688,56.280693,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1703,56.787465,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球位於最低點),1712,57.087457,""
260121_發球_06_02_Y_30.mp4,260121,Y,拋球(球離手),1719,57.320788,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1720,57.354121,""
260121_發球_06_02_Y_30.mp4,260121,Y,蹲下(最低點),1725,57.520786,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1730,57.687451,""
260121_發球_06_02_Y_30.mp4,260121,Y,起跳(雙腳離地),1735,57.854112,""
260121_發球_06_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),1739,57.987441,""
260121_發球_06_02_Y_30.mp4,260121,Y,手肘到前,1743,58.120773,""
260121_發球_06_02_Y_30.mp4,260121,Y,抬擊球手前1幀,1744,58.154106,""
260121_發球_06_02_Y_30.mp4,260121,Y,擊球(瞬間),1745,58.187439,""
260121_發球_06_02_Y_30.mp4,260121,Y,球離手(瞬間),1746,58.220772,""
260121_發球_06_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),1753,58.43374,""
260121_發球_06_02_Y_30.mp4,260121,Y,站定準備,1922,64.08776,""
260121_發球_06_02_Y_30.mp4,260121,Y,步伐腳跟著地,1936,64.562968,""
