Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,70,2.349854,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,90,3.031182,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,109,3.6554,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,122,4.088729,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),130,4.355393,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),133,4.455391,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),137,4.588723,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),138,4.622056,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,262,8.744656,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,301,10.047175,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,316,10.552197,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,327,10.920945,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),329,10.987602,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),336,11.220933,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),339,11.320196,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),341,11.386862,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,420,14.012719,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,434,14.495188,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,457,15.245563,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,465,15.517408,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),477,15.917404,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),483,16.1174,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),486,16.217398,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),488,16.284064,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,559,18.645901,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,573,19.101834,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,585,19.521158,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,597,19.920616,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),603,20.125591,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),612,20.425586,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),615,20.525583,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),617,20.592249,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,702,23.404168,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,722,24.084263,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,737,24.583784,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,745,24.846826,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),756,25.215292,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),758,25.299999,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),763,25.466663,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),764,25.499995,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,828,27.633315,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,847,28.249779,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,864,28.813246,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,873,29.129783,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),882,29.427747,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),891,29.727744,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),897,29.926965,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),898,29.960298,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,994,33.145114,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1009,33.665546,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1023,34.124462,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1037,34.58286,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),1045,34.849524,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),1047,34.916185,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),1050,35.016184,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),1051,35.049517,""
260121_舉球_06_01_X_30.mp4,260121,X,站定準備,1141,38.044289,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1152,38.404034,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1172,39.086491,""
260121_舉球_06_01_X_30.mp4,260121,X,步伐腳跟著地,1183,39.448609,""
260121_舉球_06_01_X_30.mp4,260121,X,卡位(完成轉身等待接球),1196,39.89796,""
260121_舉球_06_01_X_30.mp4,260121,X,蹲下(位於最低點),1202,40.077764,""
260121_舉球_06_01_X_30.mp4,260121,X,手觸球(瞬間),1207,40.244429,""
260121_舉球_06_01_X_30.mp4,260121,X,球離手(瞬間),1208,40.277761,""
