Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_09_03_L_240.mov,260121,L,站定準備,244,8.143801,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,325,10.84638,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,369,12.323955,""
260121_舉球_09_03_L_240.mov,260121,L,卡位(完成轉身等待接球),396,13.230383,"卡位未轉正"
260121_舉球_09_03_L_240.mov,260121,L,蹲下(位於最低點),414,13.807196,""
260121_舉球_09_03_L_240.mov,260121,L,手觸球(瞬間),434,14.497732,""
260121_舉球_09_03_L_240.mov,260121,L,球離手(瞬間),439,14.664397,""
260121_舉球_09_03_L_240.mov,260121,L,站定準備,727,24.23483,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,747,24.925795,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,806,26.882086,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,853,28.437189,""
260121_舉球_09_03_L_240.mov,260121,L,卡位(完成轉身等待接球),880,29.345581,""
260121_舉球_09_03_L_240.mov,260121,L,蹲下(位於最低點),897,29.902566,""
260121_舉球_09_03_L_240.mov,260121,L,手觸球(瞬間),928,30.955359,""
260121_舉球_09_03_L_240.mov,260121,L,球離手(瞬間),933,31.122024,""
260121_舉球_09_03_L_240.mov,260121,L,站定準備,1205,40.194144,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1249,41.659324,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1295,43.188577,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1331,44.398055,""
260121_舉球_09_03_L_240.mov,260121,L,卡位(完成轉身等待接球),1361,45.398977,""
260121_舉球_09_03_L_240.mov,260121,L,蹲下(位於最低點),1376,45.880161,""
260121_舉球_09_03_L_240.mov,260121,L,手觸球(瞬間),1397,46.593565,""
260121_舉球_09_03_L_240.mov,260121,L,球離手(瞬間),1402,46.76023,""
260121_舉球_09_03_L_240.mov,260121,L,站定準備,1690,56.352861,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1733,57.769064,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1787,59.581591,""
260121_舉球_09_03_L_240.mov,260121,L,步伐腳跟著地,1829,60.992251,""
260121_舉球_09_03_L_240.mov,260121,L,卡位(完成轉身等待接球),1860,62.022668,""
260121_舉球_09_03_L_240.mov,260121,L,蹲下(位於最低點),1876,62.562748,""
260121_舉球_09_03_L_240.mov,260121,L,手觸球(瞬間),1899,63.325624,""
