Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,177,5.917918,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,295,9.852886,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,417,13.907272,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,540,18.013727,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,666,22.205634,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,798,26.6253,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,927,30.927734,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,1052,35.084129,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,1205,40.175507,""
260121_舉球_11_03_Y_30.mp4,260121,Y,站定準備,1341,44.702657,""
