Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,138,4.625959,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,285,9.528723,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,437,14.568323,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,576,19.211218,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,723,24.112595,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,893,29.773229,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,1041,34.703155,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,1198,39.944125,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,1356,45.229583,""
260121_舉球_02_01_Y_30.mp4,260121,Y,站定準備,1501,50.055644,""
