Video,Date,View,Action,Frame,Time_Sec,Faults
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,站定準備,1051,35.066654,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,1144,38.161299,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,1252,41.743293,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,拋球(球位於最低點),1339,44.642721,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,1365,45.517495,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,拋球(球離手),1425,47.51928,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,1472,49.075415,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,抬擊球手前1幀,1495,49.849508,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,蹲下(最低點),1518,50.622055,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,1523,50.778432,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,起跳(雙腳離地),1577,52.588661,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,躬身(拉到角度最大時),1594,53.143101,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,手肘到前,1630,54.349991,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,擊球(瞬間),1636,54.549989,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,球離手(瞬間),1640,54.683321,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,落地(腳著地瞬間),1678,55.947457,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,站定準備,5624,187.479763,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,5696,189.884408,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,5824,194.154323,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,拋球(球位於最低點),5913,197.117134,""
05_追加/260113_發球_05_01_RF_240.mov,260113,RF,步伐腳跟著地,5939,197.967206,""
