Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_03_01_X_30.mp4,260121,X,站定準備,194,6.482475,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,206,6.893388,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球位於最低點),209,6.999996,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球離手),220,7.341113,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,221,7.393376,""
260121_發球_03_01_X_30.mp4,260121,X,抬擊球手前1幀,228,7.633328,""
260121_發球_03_01_X_30.mp4,260121,X,蹲下(最低點),230,7.674441,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,231,7.726706,""
260121_發球_03_01_X_30.mp4,260121,X,起跳(雙腳離地),239,7.974437,""
260121_發球_03_01_X_30.mp4,260121,X,躬身(拉到角度最大時),239,7.999987,""
260121_發球_03_01_X_30.mp4,260121,X,手肘到前,243,8.133316,""
260121_發球_03_01_X_30.mp4,260121,X,擊球(瞬間),244,8.16665,""
260121_發球_03_01_X_30.mp4,260121,X,球離手(瞬間),245,8.199979,""
260121_發球_03_01_X_30.mp4,260121,X,落地(腳著地瞬間),250,8.358463,""
260121_發球_03_01_X_30.mp4,260121,X,站定準備,436,14.54221,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,455,15.199993,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球位於最低點),456,15.233329,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球離手),466,15.566659,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,470,15.699987,""
260121_發球_03_01_X_30.mp4,260121,X,蹲下(最低點),477,15.933321,""
260121_發球_03_01_X_30.mp4,260121,X,抬擊球手前1幀,477,15.933318,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,480,16.033315,""
260121_發球_03_01_X_30.mp4,260121,X,起跳(雙腳離地),486,16.233329,""
260121_發球_03_01_X_30.mp4,260121,X,躬身(拉到角度最大時),487,16.266644,""
260121_發球_03_01_X_30.mp4,260121,X,手肘到前,491,16.399973,""
260121_發球_03_01_X_30.mp4,260121,X,擊球(瞬間),492,16.433306,""
260121_發球_03_01_X_30.mp4,260121,X,球離手(瞬間),493,16.466639,""
260121_發球_03_01_X_30.mp4,260121,X,落地(腳著地瞬間),497,16.599971,""
260121_發球_03_01_X_30.mp4,260121,X,站定準備,639,21.306211,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,656,21.899992,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球位於最低點),657,21.93333,""
260121_發球_03_01_X_30.mp4,260121,X,拋球(球離手),667,22.26666,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,672,22.433319,""
260121_發球_03_01_X_30.mp4,260121,X,抬擊球手前1幀,677,22.587606,""
260121_發球_03_01_X_30.mp4,260121,X,蹲下(最低點),678,22.63332,""
260121_發球_03_01_X_30.mp4,260121,X,步伐腳跟著地,680,22.699982,""
260121_發球_03_01_X_30.mp4,260121,X,起跳(雙腳離地),686,22.899984,""
260121_發球_03_01_X_30.mp4,260121,X,躬身(拉到角度最大時),688,22.954267,""
