Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,207,6.928991,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,243,8.104668,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,259,8.637996,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,278,9.271323,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),282,9.40465,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),283,9.437982,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),293,9.771311,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),295,9.837975,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,366,12.225831,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,369,12.32583,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,385,12.866665,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,397,13.266661,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),411,13.733333,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),416,13.899992,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),425,14.199979,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),427,14.266642,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,494,16.499982,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,528,17.633319,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,542,18.070731,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,549,18.304049,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),559,18.637379,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),567,18.933296,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),572,19.099998,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),574,19.137371,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,650,21.699997,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,660,22.033329,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,678,22.611283,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,687,22.933333,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),702,23.411268,"下蹲不足;雙手施力不均;卡位未在額頭前70~90度間;卡位移動補償"
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),707,23.599995,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),713,23.799991,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),714,23.833323,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,799,26.660706,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,803,26.794036,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,818,27.294028,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,833,27.794023,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),837,27.927355,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),850,28.36068,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),856,28.560678,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),858,28.627344,"卡位移動補償"
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,944,31.480891,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,945,31.514224,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,960,32.014217,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,972,32.414211,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),981,32.714208,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),997,33.247532,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),1002,33.414192,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),1003,33.447522,"卡位未在額頭前70~90度間"
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,1097,36.581862,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1099,36.648525,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1120,37.348518,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1132,37.748514,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1143,38.115174,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1157,38.581832,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),1162,38.748497,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),1164,38.815163,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,1253,41.777772,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1257,41.907906,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1274,42.480084,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1277,42.57012,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1290,43.003448,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1290,43.031607,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1296,43.231605,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1307,43.570108,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),1314,43.803439,""
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),1316,43.870105,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,1392,46.4114,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1414,47.154609,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1434,47.821269,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1447,48.254598,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1447,48.254592,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),1464,48.821253,"站位偏移;卡位未轉正;卡位移動補償"
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),1466,48.887918,""
260121_舉球_03_01_X2_30.mp4,260121,X2,站定準備,1567,52.266666,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1588,52.960378,""
260121_舉球_03_01_X2_30.mp4,260121,X2,步伐腳跟著地,1601,53.393707,""
260121_舉球_03_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1606,53.560372,""
260121_舉球_03_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1614,53.827028,""
260121_舉球_03_01_X2_30.mp4,260121,X2,手觸球(瞬間),1628,54.29369,"卡位未在額頭前70~90度間"
260121_舉球_03_01_X2_30.mp4,260121,X2,球離手(瞬間),1630,54.360355,""
