Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,175,5.835093,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,195,6.514263,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,207,6.919664,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,215,7.185841,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),224,7.485838,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),237,7.919165,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),241,8.052497,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),242,8.099997,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,308,10.285695,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,317,10.585892,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,333,11.119219,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,345,11.533329,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),360,12.033324,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),374,12.499985,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),377,12.599981,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),379,12.666647,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,447,14.911158,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,456,15.213697,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,471,15.713685,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,481,16.047013,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),494,16.480341,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),500,16.680337,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),505,16.847002,"雙手施力不均"
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),507,16.913668,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,574,19.142388,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,582,19.433329,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,598,19.966655,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,609,20.33331,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),620,20.699973,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),631,21.066631,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),635,21.199962,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),637,21.266628,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,703,23.45115,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,713,23.782712,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,728,24.282706,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,739,24.649368,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),749,24.982697,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),761,25.382692,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),767,25.58269,"雙手施力不均"
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),769,25.649355,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,836,27.879133,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,846,28.233325,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,860,28.699985,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,871,29.066646,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),892,29.766639,"擊球時機不當;卡位移動補償"
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),899,29.999959,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),903,30.133302,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),904,30.166665,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,976,32.541154,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,987,32.933324,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1004,33.499979,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1015,33.866632,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),1026,34.233295,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),1038,34.633289,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),1043,34.799954,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),1045,34.86662,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,1109,36.998515,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1120,37.349994,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1134,37.816654,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1143,38.116648,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),1158,38.616643,"卡位移動補償"
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),1165,38.84997,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),1170,39.016635,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),1172,39.0833,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,1246,41.538331,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1254,41.810999,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1267,42.238303,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1275,42.504966,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),1288,42.938295,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),1299,43.304957,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),1302,43.433333,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),1305,43.533331,""
260121_舉球_03_02_X_30.mp4,260121,X,站定準備,1370,45.699997,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1381,46.041606,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1397,46.574934,""
260121_舉球_03_02_X_30.mp4,260121,X,步伐腳跟著地,1408,46.941597,""
260121_舉球_03_02_X_30.mp4,260121,X,卡位(完成轉身等待接球),1422,47.408259,""
260121_舉球_03_02_X_30.mp4,260121,X,蹲下(位於最低點),1428,47.608256,""
260121_舉球_03_02_X_30.mp4,260121,X,手觸球(瞬間),1435,47.841586,""
260121_舉球_03_02_X_30.mp4,260121,X,球離手(瞬間),1437,47.908252,""
