Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_08_02_X_30.mp4,260113,X,站定準備,161,5.396946,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,211,7.036637,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,229,7.666664,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),242,8.099997,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),243,8.13333,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,244,8.166664,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,247,8.236658,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),250,8.33963,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,252,8.433246,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),256,8.539628,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),259,8.666655,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,263,8.799998,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),265,8.866664,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),266,8.899997,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),270,9.033325,""
260113_發球_08_02_X_30.mp4,260113,X,站定準備,449,14.983545,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,469,15.666627,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,485,16.199954,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),498,16.633279,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),498,16.633303,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,500,16.699945,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,503,16.769995,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),506,16.899937,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,507,16.933275,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),513,17.10333,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),514,17.166659,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,518,17.29993,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),520,17.366582,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),521,17.369999,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),524,17.499912,"單腳落地"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,672,22.408195,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,692,23.074855,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,708,23.608183,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),720,24.008176,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),721,24.066665,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,722,24.074842,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,724,24.136655,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),728,24.274822,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,730,24.341488,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),736,24.536662,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),737,24.57481,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,740,24.674792,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),742,24.741471,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),743,24.774797,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),746,24.874803,"單腳落地"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,907,30.255922,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,927,30.922582,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,943,31.45591,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),955,31.834154,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),956,31.899995,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,957,31.922572,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,959,31.969996,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),962,32.067484,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,963,32.122565,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),968,32.267474,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),971,32.367462,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,975,32.500788,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),977,32.567459,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),978,32.600786,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),981,32.722555,"單腳落地"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,1144,38.153686,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1160,38.687014,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1176,39.220342,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),1187,39.599984,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),1188,39.633318,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1189,39.653669,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,1191,39.703329,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1194,39.83331,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1196,39.886999,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1201,40.053659,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1204,40.166637,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,1208,40.299968,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),1209,40.333297,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),1210,40.36663,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),1215,40.52032,"單腳落地"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,1372,45.741979,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1398,46.608634,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1415,47.175295,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),1427,47.59999,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),1428,47.633331,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1429,47.641957,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,1432,47.736663,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1434,47.833316,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1436,47.875287,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1440,48.008612,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1444,48.166645,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,1447,48.266644,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),1449,48.33331,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),1450,48.366643,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),1454,48.475274,""
260113_發球_08_02_X_30.mp4,260113,X,站定準備,1610,53.681603,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1628,54.28449,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1645,54.851151,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),1656,55.233329,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),1657,55.266662,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1659,55.317813,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,1661,55.369996,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1664,55.499991,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1665,55.51781,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1670,55.684474,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1673,55.784473,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,1677,55.933331,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),1679,55.999984,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),1680,56.033317,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),1683,56.117803,""
260113_發球_08_02_X_30.mp4,260113,X,站定準備,1837,61.23862,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1865,62.176327,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1882,62.742988,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),1894,63.142932,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),1895,63.176265,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1896,63.209649,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,1898,63.269995,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),1901,63.376307,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,1903,63.44298,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),1908,63.609636,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),1911,63.709632,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,1916,63.876258,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),1917,63.90959,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),1918,63.942922,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),1921,64.042962,"單腳落地"
260113_發球_08_02_X_30.mp4,260113,X,站定準備,2076,69.202089,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2099,69.968687,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2117,70.568681,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),2128,70.935344,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),2129,70.999999,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2130,71.00201,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,2134,71.13666,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),2136,71.233331,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2138,71.268672,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),2144,71.499997,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2146,71.535336,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,2150,71.668659,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),2152,71.735334,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),2154,71.833332,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),2156,71.868665,""
260113_發球_08_02_X_30.mp4,260113,X,站定準備,2341,78.054222,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2366,78.874732,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2382,79.40806,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球離手),2394,79.80805,""
260113_發球_08_02_X_30.mp4,260113,X,拋球(球位於最低點),2395,79.841383,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2396,79.874715,""
260113_發球_08_02_X_30.mp4,260113,X,抬擊球手前1幀,2398,79.936637,""
260113_發球_08_02_X_30.mp4,260113,X,蹲下(最低點),2402,80.074708,""
260113_發球_08_02_X_30.mp4,260113,X,步伐腳跟著地,2403,80.108046,""
260113_發球_08_02_X_30.mp4,260113,X,起跳(雙腳離地),2409,80.308039,""
260113_發球_08_02_X_30.mp4,260113,X,躬身(拉到角度最大時),2410,80.34137,""
260113_發球_08_02_X_30.mp4,260113,X,手肘到前,2414,80.499999,""
260113_發球_08_02_X_30.mp4,260113,X,擊球(瞬間),2416,80.541368,""
260113_發球_08_02_X_30.mp4,260113,X,球離手(瞬間),2417,80.574701,""
260113_發球_08_02_X_30.mp4,260113,X,落地(腳著地瞬間),2421,80.708028,"單腳落地"
