Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,109,3.661173,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,545,18.189458,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,937,31.251655,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,1183,39.463727,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,1443,48.125619,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,1722,57.430104,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,1970,65.697154,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,2232,74.406241,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,2496,83.222774,""
260113_發球_12_02_Y_30.mp4,260113,Y,站定準備,2732,91.095832,""
