Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,885,29.513318,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,1960,65.342714,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,2380,79.354955,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,2843,94.769829,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,3372,112.419254,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,3799,126.637241,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,4300,143.339509,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,4736,157.882891,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,5244,174.80168,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,5802,193.419251,""
260113_舉球_12_01_L_240_2.mov,260113,L,站定準備,6660,222.006402,""
