Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,102,3.426655,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,356,11.87799,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,471,15.715088,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,591,19.705748,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,709,23.661825,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,837,27.917153,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,839,27.976195,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,959,31.987233,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,1070,35.693375,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,1197,39.932451,""
260113_舉球_12_01_X_30.mp4,260113,X,站定準備,1336,44.553572,""
