Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,714,23.802515,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,3264,108.806268,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,4927,164.253943,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,6640,221.336601,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,8478,282.632388,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,10074,335.804656,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,11703,390.118234,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,13626,454.210771,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,15908,530.267572,""
260113_發球_12_01_RF_240_2.mov,260113,RF,站定準備,17762,592.076483,""
