Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,485,16.195641,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,3796,126.535218,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,5176,172.534314,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,6311,210.393275,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,7422,247.427702,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,8560,285.34251,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,9479,315.982888,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,10474,349.141317,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,11617,387.258868,""
260113_發球_12_02_LF_240_2.mov,260113,LF,站定準備,13431,447.709698,""
