Video,Date,View,Action,Frame,Time_Sec,Faults
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,1921,64.060352,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,2122,70.750751,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,2231,74.374687,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,2288,76.269434,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),2375,79.181694,"雙腳間距太小"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),2408,80.283811,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),2434,81.16358,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),2447,81.590981,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,2998,99.95621,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,3126,104.228086,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,3230,107.677599,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,3284,109.483036,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),3374,112.490269,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),3424,114.142809,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),3461,115.369987,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),3469,115.636651,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,3903,130.129456,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,4012,133.761306,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,4122,137.409913,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,4191,139.724842,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),4307,143.58479,"卡位的位置不對"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),4307,143.57,"卡位的位置不對"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),4386,146.202429,"卡位的位置不對"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),4398,146.630353,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,5138,171.284084,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,5201,173.373445,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,5297,176.574953,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,5357,178.589459,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),5449,181.653508,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),5464,182.136377,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),5528,184.296228,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),5538,184.608233,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,6140,204.669994,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,6178,205.965508,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,6295,209.836178,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,6363,212.11841,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),6443,214.788754,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),6503,216.794507,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),6549,218.32849,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),6563,218.795152,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,7091,236.382979,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,7194,239.81957,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,7305,243.5045,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,7370,245.691976,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),7476,249.209074,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),7540,251.337155,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),7571,252.37466,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),7585,252.841322,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,8119,270.658712,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,8170,272.350759,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,8296,276.539953,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,8361,278.725014,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),8466,282.22068,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),8497,283.263948,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),8548,284.948349,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),8557,285.265767,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,9104,303.486532,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,9181,306.049607,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,9299,309.985818,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,9360,312.007301,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),9468,315.630799,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),9491,316.399096,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),9570,319.007946,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),9581,319.395858,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,10183,339.443562,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,10254,341.816954,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,10384,346.160751,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,10452,348.412763,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),10560,352.032695,"卡位未轉正"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),10565,352.169998,"卡位未轉正"
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),10638,354.602159,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),10650,355.017005,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,11255,375.183846,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,11322,377.426308,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,11425,380.863298,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,步伐腳跟著地,11481,382.704192,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,卡位(完成轉身等待接球),11561,385.385147,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,蹲下(位於最低點),11608,386.934938,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,手觸球(瞬間),11667,388.914582,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,球離手(瞬間),11677,389.254726,""
01_追加/260113_舉球_01_01_R_240.mov,260113,R,站定準備,12290,409.673543,""
