Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_11_01_LF_240.mov,260121,LF,站定準備,1023,34.108784,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,1068,35.601193,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,1146,38.206703,""
260121_發球_11_01_LF_240.mov,260121,LF,拋球(球位於最低點),1162,38.759389,""
260121_發球_11_01_LF_240.mov,260121,LF,拋球(球離手),1199,39.978924,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,1205,40.178917,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,1240,41.345566,""
260121_發球_11_01_LF_240.mov,260121,LF,抬擊球手前1幀,1241,41.378905,""
260121_發球_11_01_LF_240.mov,260121,LF,蹲下(最低點),1244,41.478896,"下蹲不完整"
260121_發球_11_01_LF_240.mov,260121,LF,起跳(雙腳離地),1270,42.341732,""
260121_發球_11_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),1281,42.708393,""
260121_發球_11_01_LF_240.mov,260121,LF,手肘到前,1294,43.141722,""
260121_發球_11_01_LF_240.mov,260121,LF,擊球(瞬間),1298,43.275054,""
260121_發球_11_01_LF_240.mov,260121,LF,球離手(瞬間),1301,43.375053,""
260121_發球_11_01_LF_240.mov,260121,LF,落地(腳著地瞬間),1320,44.012655,""
260121_發球_11_01_LF_240.mov,260121,LF,站定準備,2094,69.804634,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,2147,71.567488,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,2220,74.01883,""
260121_發球_11_01_LF_240.mov,260121,LF,拋球(球位於最低點),2233,74.466662,""
260121_發球_11_01_LF_240.mov,260121,LF,拋球(球離手),2279,75.968096,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,2284,76.134759,""
260121_發球_11_01_LF_240.mov,260121,LF,抬擊球手前1幀,2309,76.988724,""
260121_發球_11_01_LF_240.mov,260121,LF,步伐腳跟著地,2318,77.283116,""
260121_發球_11_01_LF_240.mov,260121,LF,蹲下(最低點),2318,77.283113,""
260121_發球_11_01_LF_240.mov,260121,LF,起跳(雙腳離地),2345,78.173544,""
260121_發球_11_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),2351,78.378857,""
