Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,162,5.420563,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,432,14.406891,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,684,22.808246,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,947,31.570663,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,1237,41.244099,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,1515,50.500959,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,1806,60.210948,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,2074,69.14356,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,2340,78.008395,""
260121_發球_11_01_X2_30.mp4,260121,X2,站定準備,2617,87.253496,""
