Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_11_01_L_240.mov,260121,L,站定準備,226,7.539471,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,250,8.339456,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,306,10.205052,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,366,12.211121,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),396,13.211345,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),397,13.244678,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),410,13.678007,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),417,13.911338,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,676,22.545897,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,732,24.412545,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,788,26.299979,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),820,27.366655,"卡位未轉正"
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),842,28.099977,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),858,28.633327,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),865,28.866658,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,1136,37.89081,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1209,40.31079,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1270,42.344103,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),1308,43.610757,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1311,43.710756,"卡位移動補償"
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),1327,44.244082,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),1346,44.877409,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),1353,45.11074,"雙手施力不均"
260121_舉球_11_01_L_240.mov,260121,L,站定準備,1693,56.453238,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1761,58.717039,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1822,60.750352,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),1843,61.457267,"卡位未轉正"
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,1853,61.799996,"卡位移動補償"
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),1869,62.333323,"雙腳間距太小"
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),1889,62.999983,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),1895,63.199981,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,2173,72.454324,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,2257,75.238291,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,2313,77.126052,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),2344,78.15892,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),2401,80.060643,"下蹲不足"
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),2416,80.553801,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),2423,80.787132,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,2699,89.98273,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,2778,92.626821,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,2851,95.062041,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),2882,96.070075,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),2889,96.303404,"雙腳間距太小"
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),2908,96.936731,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),2916,97.203395,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,3721,124.034212,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,3757,125.237791,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,3801,126.708721,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,3844,128.155386,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),3864,128.830945,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),3871,129.064276,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),3893,129.797598,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),3901,130.064259,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,4168,138.949051,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,4241,141.390009,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,4318,143.954997,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),4349,144.988392,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),4355,145.184075,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),4378,145.962708,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),4386,146.229372,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,4666,155.538899,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,4731,157.709139,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,4794,159.803018,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,4839,161.317212,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),4844,161.483874,"站位偏移"
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),4847,161.583873,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),4862,162.083868,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),4869,162.317199,""
260121_舉球_11_01_L_240.mov,260121,L,站定準備,5219,173.974639,"站位偏移"
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,5282,176.083251,""
260121_舉球_11_01_L_240.mov,260121,L,步伐腳跟著地,5350,178.334696,""
260121_舉球_11_01_L_240.mov,260121,L,卡位(完成轉身等待接球),5381,179.377785,""
260121_舉球_11_01_L_240.mov,260121,L,蹲下(位於最低點),5390,179.677782,""
260121_舉球_11_01_L_240.mov,260121,L,手觸球(瞬間),5411,180.389791,""
260121_舉球_11_01_L_240.mov,260121,L,球離手(瞬間),5419,180.656455,""
