Video,Date,View,Action,Frame,Time_Sec,Faults
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,站定準備,1006,33.541761,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,1133,37.775355,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,拋球(球位於最低點),1222,40.742851,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,1235,41.17618,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,拋球(球離手),1331,44.376147,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,1341,44.709476,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,抬擊球手前1幀,1364,45.476116,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,蹲下(最低點),1400,46.676097,"下蹲不完整"
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,1408,46.942755,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,起跳(雙腳離地),1460,48.676069,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),1482,49.409393,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,手肘到前,1501,50.042719,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,擊球(瞬間),1514,50.476048,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,球離手(瞬間),1516,50.542714,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,落地(腳著地瞬間),1555,51.842701,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,站定準備,2799,93.313419,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,2887,96.265798,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,拋球(球位於最低點),2989,99.644716,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,3003,100.111378,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,拋球(球離手),3100,103.344677,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,3110,103.678007,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,抬擊球手前1幀,3139,104.644664,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,蹲下(最低點),3173,105.777983,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,3178,105.944645,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,起跳(雙腳離地),3229,107.644628,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),3251,108.377952,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,手肘到前,3269,108.977945,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,擊球(瞬間),3282,109.411273,"未在最高點擊球"
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,球離手(瞬間),3285,109.511272,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,落地(腳著地瞬間),3324,110.811256,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,站定準備,4638,154.628333,""
02_追加/260113_發球_02_02_RF_240_2.mov,260113,RF,步伐腳跟著地,4723,157.460687,""
