Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,103,3.464682,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,308,10.296808,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,514,17.144205,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,727,24.234566,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,946,31.550353,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,1155,38.527811,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,1391,46.393292,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,1599,53.320459,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,1820,60.679216,""
260121_發球_02_03_Y_30.mp4,260121,Y,站定準備,2037,67.908855,""
