Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,310,10.348898,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,1068,35.606119,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,1904,63.49874,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,2802,93.418209,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,3717,123.929965,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,4566,152.23058,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,5471,182.377667,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,6342,211.421979,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,7237,241.250272,""
260121_發球_02_04_RF_240.mov,260121,RF,站定準備,8139,271.301169,""
