Video,Date,View,Action,Frame,Time_Sec,Faults
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,840,28.023118,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,1857,61.919732,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,2354,78.496615,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,2912,97.082057,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,3452,115.071863,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,3931,131.04873,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,4479,149.322977,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,5029,167.664151,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,5555,185.193606,""
04_追加/260113_舉球_04_02_L_240_2.mov,260113,L,站定準備,6111,203.710428,""
