Video,Date,View,Action,Frame,Time_Sec,Faults
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,2102,70.087225,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,2235,74.520399,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,2373,79.118732,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),2404,80.135257,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球離手),2473,82.445521,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,2488,82.945516,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),2548,84.953082,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,2575,85.846535,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),2611,87.036125,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),2659,88.653901,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,2677,89.259257,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,2686,89.55925,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),2687,89.592576,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),2688,89.625909,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),2723,90.774747,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,4127,137.596574,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4191,139.724609,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4268,142.287354,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),4278,142.620684,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球離手),4313,143.787338,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4325,144.187334,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),4349,144.969992,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4361,145.369988,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),4378,145.936646,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),4398,146.6033,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,4413,147.103293,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,4415,147.169956,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),4416,147.203289,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),4418,147.269955,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),4436,147.869949,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,5482,182.741735,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,5536,184.533356,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,5616,187.210702,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),5627,187.577365,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球離手),5660,188.677351,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,5673,189.11068,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),5698,189.944005,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,5708,190.277335,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),5727,190.910658,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),5752,191.743983,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,5764,192.143978,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,5767,192.243972,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),5768,192.277305,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),5770,192.343971,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),5797,193.251346,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,6704,223.472924,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,6792,226.426288,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,6856,228.564002,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),6870,229.030664,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),6907,230.263981,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,6918,230.630644,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),6935,231.197305,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,6950,231.6973,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),6968,232.297293,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),6990,233.030618,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,7004,233.497279,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,7006,233.563942,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),7007,233.597275,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),7008,233.630608,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),7036,234.538314,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,7929,264.307299,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,8001,266.724923,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,8065,268.858216,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),8078,269.291545,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),8112,270.42486,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,8124,270.824856,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),8143,271.458183,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,8161,272.058176,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),8180,272.691497,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),8203,273.458156,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,8216,273.891484,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,8218,273.958146,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),8219,273.991479,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),8220,274.024812,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),8258,275.272591,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,站定準備,9163,305.448759,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,9206,306.884146,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,9284,309.466768,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),9295,309.833431,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,拋球(球離手),9329,310.966751,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,9341,311.366747,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,蹲下(最低點),9362,312.06674,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,步伐腳跟著地,9374,312.466734,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),9394,313.133393,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),9418,313.933374,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,手肘到前,9429,314.303328,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,9432,314.403323,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,擊球(瞬間),9433,314.436656,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,球離手(瞬間),9434,314.469989,""
06_追加/260113_發球_06_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),9471,315.701901,""
