Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_01_R_240.mov,260113,R,站定準備,104,3.494945,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,175,5.857704,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),181,6.047847,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),187,6.265815,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),192,6.415731,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),196,6.537817,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,294,9.802783,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,662,22.091098,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),698,23.273074,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),769,25.655405,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),842,28.086898,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),868,28.933576,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,1562,52.078509,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,1887,62.919676,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),1921,64.058782,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),1978,65.954934,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),2061,68.703114,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),2085,69.526235,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,2630,87.687805,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,3010,100.36487,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),3035,101.172263,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),3116,103.86888,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),3177,105.919624,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),3199,106.646484,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,3675,122.519159,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,4083,136.130932,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),4111,137.055895,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),4183,139.449588,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),4251,141.718285,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),4279,142.635312,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,4881,162.718338,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,5253,175.11618,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),5295,176.50665,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),5331,177.725723,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),5385,179.523576,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),5419,180.653714,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,5894,196.498558,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,6271,209.039714,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),6313,210.44037,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),6443,214.79914,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),6475,215.853482,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),6494,216.475035,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,7195,239.852306,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,7566,252.216902,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),7597,253.259087,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),7648,254.940162,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),7704,256.817644,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),7730,257.676494,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,8345,278.167631,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,8655,288.524599,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),8689,289.634943,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),8764,292.13368,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),8789,292.975622,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),8831,294.381083,""
260113_舉球_07_01_R_240.mov,260113,R,站定準備,9161,305.376493,""
260113_舉球_07_01_R_240.mov,260113,R,步伐腳跟著地,9200,306.688647,""
260113_舉球_07_01_R_240.mov,260113,R,卡位(完成轉身等待接球),9207,306.91651,""
260113_舉球_07_01_R_240.mov,260113,R,蹲下(位於最低點),9216,307.226517,""
260113_舉球_07_01_R_240.mov,260113,R,手觸球(瞬間),9223,307.466484,""
260113_舉球_07_01_R_240.mov,260113,R,球離手(瞬間),9230,307.698472,""
