Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,85,2.861517,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,160,5.337472,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),164,5.489484,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),171,5.703569,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),179,5.993538,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),182,6.07952,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,238,7.945592,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,282,9.410669,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),287,9.581676,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),299,9.999628,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),310,10.347678,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),314,10.475696,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,399,13.3197,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,433,14.435736,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),440,14.671709,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),449,14.969721,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),463,15.447769,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),465,15.525771,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,528,17.632981,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,577,19.263975,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),592,19.738008,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),596,19.888028,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),603,20.111996,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),605,20.196994,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,679,22.66004,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,720,24.019068,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),727,24.234103,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),732,24.416079,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),736,24.557077,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),739,24.654062,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,827,27.582147,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,855,28.526168,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),866,28.8772,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),871,29.063178,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),876,29.209178,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),882,29.414176,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,935,31.199195,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,995,33.186575,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),1006,33.552537,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),1013,33.796454,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),1016,33.883386,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),1019,33.971408,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,1099,36.648984,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,1146,38.203021,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),1161,38.733116,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),1165,38.861023,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),1169,38.986956,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),1172,39.075143,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,1238,41.2797,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,1283,42.783717,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),1290,43.007752,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),1300,43.338736,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),1306,43.542761,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),1308,43.631739,""
260113_舉球_07_01_Y_30.mp4,260113,Y,站定準備,1382,46.069768,""
260113_舉球_07_01_Y_30.mp4,260113,Y,步伐腳跟著地,1425,47.526015,""
260113_舉球_07_01_Y_30.mp4,260113,Y,卡位(完成轉身等待接球),1434,47.814832,""
260113_舉球_07_01_Y_30.mp4,260113,Y,蹲下(位於最低點),1441,48.057855,""
260113_舉球_07_01_Y_30.mp4,260113,Y,手觸球(瞬間),1446,48.220843,""
260113_舉球_07_01_Y_30.mp4,260113,Y,球離手(瞬間),1449,48.319833,""
