Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_07_01_L_240.mov,260121,L,站定準備,409,13.648358,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,487,16.249983,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,539,17.981627,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,581,19.371248,""
260121_舉球_07_01_L_240.mov,260121,L,卡位(完成轉身等待接球),600,20.026022,""
260121_舉球_07_01_L_240.mov,260121,L,蹲下(位於最低點),639,21.303197,""
260121_舉球_07_01_L_240.mov,260121,L,手觸球(瞬間),667,22.251428,""
260121_舉球_07_01_L_240.mov,260121,L,球離手(瞬間),688,22.934034,""
260121_舉球_07_01_L_240.mov,260121,L,站定準備,991,33.060718,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1034,34.467442,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1078,35.955554,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1123,37.4594,""
260121_舉球_07_01_L_240.mov,260121,L,卡位(完成轉身等待接球),1147,38.248851,""
260121_舉球_07_01_L_240.mov,260121,L,蹲下(位於最低點),1179,39.32876,""
260121_舉球_07_01_L_240.mov,260121,L,手觸球(瞬間),1201,40.047519,""
260121_舉球_07_01_L_240.mov,260121,L,球離手(瞬間),1214,40.498199,""
260121_舉球_07_01_L_240.mov,260121,L,站定準備,1491,49.726265,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1532,51.094304,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1594,53.155898,""
260121_舉球_07_01_L_240.mov,260121,L,步伐腳跟著地,1630,54.354503,""
260121_舉球_07_01_L_240.mov,260121,L,卡位(完成轉身等待接球),1657,55.264971,""
260121_舉球_07_01_L_240.mov,260121,L,蹲下(位於最低點),1697,56.569359,""
260121_舉球_07_01_L_240.mov,260121,L,手觸球(瞬間),1725,57.515771,""
