Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_07_04_X2_30.mp4,260121,X2,站定準備,35,1.199544,""
260121_發球_07_04_X2_30.mp4,260121,X2,站定準備,112,3.750724,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,130,4.348325,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球位於最低點),138,4.624422,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,141,4.726231,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球離手),146,4.893926,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,149,4.982304,""
260121_發球_07_04_X2_30.mp4,260121,X2,蹲下(最低點),155,5.187981,""
260121_發球_07_04_X2_30.mp4,260121,X2,起跳(雙腳離地),162,5.407319,""
260121_發球_07_04_X2_30.mp4,260121,X2,抬擊球手前1幀,162,5.4,""
260121_發球_07_04_X2_30.mp4,260121,X2,躬身(拉到角度最大時),162,5.4,""
260121_發球_07_04_X2_30.mp4,260121,X2,手肘到前,166,5.566664,""
260121_發球_07_04_X2_30.mp4,260121,X2,擊球(瞬間),167,5.599997,""
260121_發球_07_04_X2_30.mp4,260121,X2,球離手(瞬間),168,5.633332,""
260121_發球_07_04_X2_30.mp4,260121,X2,落地(腳著地瞬間),176,5.870038,""
260121_發球_07_04_X2_30.mp4,260121,X2,站定準備,525,17.532874,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,536,17.88876,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球位於最低點),541,18.062699,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球離手),549,18.330042,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,550,18.348771,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,557,18.580791,""
260121_發球_07_04_X2_30.mp4,260121,X2,蹲下(最低點),557,18.568095,""
260121_發球_07_04_X2_30.mp4,260121,X2,起跳(雙腳離地),560,18.66813,""
260121_發球_07_04_X2_30.mp4,260121,X2,抬擊球手前1幀,560,18.66813,""
260121_發球_07_04_X2_30.mp4,260121,X2,躬身(拉到角度最大時),560,18.66813,""
260121_發球_07_04_X2_30.mp4,260121,X2,手肘到前,564,18.801462,""
260121_發球_07_04_X2_30.mp4,260121,X2,擊球(瞬間),565,18.834795,""
260121_發球_07_04_X2_30.mp4,260121,X2,球離手(瞬間),566,18.868128,""
260121_發球_07_04_X2_30.mp4,260121,X2,落地(腳著地瞬間),569,18.9892,""
260121_發球_07_04_X2_30.mp4,260121,X2,站定準備,717,23.91624,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,739,24.637234,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球位於最低點),744,24.81513,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球離手),750,25.000613,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,753,25.11531,""
260121_發球_07_04_X2_30.mp4,260121,X2,蹲下(最低點),757,25.245624,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,759,25.331262,""
260121_發球_07_04_X2_30.mp4,260121,X2,起跳(雙腳離地),764,25.475153,""
260121_發球_07_04_X2_30.mp4,260121,X2,抬擊球手前1幀,764,25.483924,""
260121_發球_07_04_X2_30.mp4,260121,X2,躬身(拉到角度最大時),764,25.483924,""
260121_發球_07_04_X2_30.mp4,260121,X2,手肘到前,767,25.583923,""
260121_發球_07_04_X2_30.mp4,260121,X2,擊球(瞬間),769,25.650588,""
260121_發球_07_04_X2_30.mp4,260121,X2,球離手(瞬間),770,25.683921,""
260121_發球_07_04_X2_30.mp4,260121,X2,落地(腳著地瞬間),773,25.797467,""
260121_發球_07_04_X2_30.mp4,260121,X2,站定準備,914,30.490533,""
260121_發球_07_04_X2_30.mp4,260121,X2,步伐腳跟著地,932,31.070542,""
260121_發球_07_04_X2_30.mp4,260121,X2,拋球(球位於最低點),935,31.192392,""
