Video,Date,View,Action,Frame,Time_Sec,Faults
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,2484,82.813858,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,3853,128.453745,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,4771,159.042492,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,5796,193.222773,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,6639,221.312756,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,7551,251.721874,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,8457,281.91697,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,9361,312.059942,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,10309,343.652559,""
09_追加/260113_發球_09_02_LF_240_2.mov,260113,LF,站定準備,11973,399.12431,""
