Video,Date,View,Action,Frame,Time_Sec,Faults
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,872,29.089169,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,1786,59.550083,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,2376,79.201898,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,2933,97.786563,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,3464,115.486499,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,4015,133.855333,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,4602,153.423286,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,5164,172.14591,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,5738,191.290605,""
09_追加/260113_舉球_09_01_L_240_2.mov,260113,L,站定準備,6312,210.421718,""
