Video,Date,View,Action,Frame,Time_Sec,Faults
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,站定準備,662,22.067604,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,894,29.808531,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,983,32.779252,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),1018,33.947071,"卡位未轉正"
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,蹲下(位於最低點),1044,34.813729,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,手觸球(瞬間),1109,36.995284,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,球離手(瞬間),1122,37.403328,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,站定準備,1637,54.59126,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,1691,56.366738,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,1816,60.533757,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,1934,64.496067,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),1986,66.213792,"卡位未轉正"
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,蹲下(位於最低點),1999,66.65684,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,手觸球(瞬間),2059,68.650947,"卡位未在額頭前70~90度間"
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,球離手(瞬間),2073,69.117609,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,站定準備,2684,89.49368,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,2756,91.880387,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,2876,95.898233,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,步伐腳跟著地,2964,98.808249,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),3059,101.969403,"卡位未轉正"
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,蹲下(位於最低點),3089,102.980036,""
09_追加/260113_舉球_09_02_R_240_2.mov,260113,R,手觸球(瞬間),3146,104.887797,""
