Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,313,10.456713,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,379,12.633892,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,403,13.449402,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),414,13.803329,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),467,15.569979,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,470,15.669978,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,492,16.403326,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),495,16.503325,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,513,17.103319,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),533,17.769979,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),540,18.026526,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,557,18.593187,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),560,18.693186,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),562,18.759852,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),581,19.393179,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,1322,44.09566,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,1376,45.867921,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,1444,48.138783,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),1451,48.372114,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),1506,50.212788,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,1509,50.312787,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,1528,50.936001,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),1533,51.102666,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,1550,51.669325,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),1570,52.335985,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),1580,52.669315,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,1598,53.269309,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),1601,53.369306,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),1603,53.435972,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),1620,54.002621,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,2377,79.256443,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,2413,80.440898,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),2429,80.974226,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),2475,82.526752,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,2485,82.864452,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),2507,83.597807,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,2522,84.087651,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),2544,84.820974,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),2552,85.087638,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,2568,85.620966,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),2571,85.720965,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),2573,85.787631,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),2587,86.254293,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,3408,113.623933,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,3441,114.701574,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,3514,117.158906,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),3521,117.392237,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),3576,119.226045,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,3597,119.928104,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),3602,120.094769,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,3621,120.717983,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),3642,121.417976,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),3654,121.817972,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,3670,122.3513,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),3672,122.417966,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),3675,122.517965,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),3691,123.051293,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,4457,148.596324,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,4522,150.735448,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),4564,152.162774,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,4586,152.896094,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),4588,152.96279,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,4605,153.529421,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),4612,153.762752,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,4633,154.462745,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),4654,155.162738,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),4663,155.462735,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,4683,156.129395,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),4687,156.262727,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),4688,156.296059,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),4700,156.696055,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,5502,183.405114,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,5548,184.949224,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,5612,187.083338,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),5621,187.387732,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),5674,189.154438,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,5679,189.303331,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,5696,189.86999,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),5701,190.036655,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,5721,190.703315,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),5742,191.403308,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),5752,191.736638,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,5767,192.236632,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),5770,192.336631,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),5772,192.403297,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),5781,192.703294,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,6673,222.435095,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),6694,223.157138,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),6739,224.649814,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,6741,224.716478,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,6759,225.316472,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),6765,225.51647,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,6790,226.349793,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),6816,227.21645,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),6833,227.783111,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,6845,228.183107,""
260121_發球_11_03_LF_240.mov,260121,LF,擊球(瞬間),6848,228.283106,""
260121_發球_11_03_LF_240.mov,260121,LF,球離手(瞬間),6850,228.349772,""
260121_發球_11_03_LF_240.mov,260121,LF,落地(腳著地瞬間),6863,228.783092,"單腳落地"
260121_發球_11_03_LF_240.mov,260121,LF,站定準備,7663,255.448229,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,7759,258.660719,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球位於最低點),7773,259.127726,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,7819,260.653745,""
260121_發球_11_03_LF_240.mov,260121,LF,拋球(球離手),7820,260.694425,""
260121_發球_11_03_LF_240.mov,260121,LF,抬擊球手前1幀,7839,261.320405,""
260121_發球_11_03_LF_240.mov,260121,LF,蹲下(最低點),7848,261.620402,""
260121_發球_11_03_LF_240.mov,260121,LF,步伐腳跟著地,7866,262.220395,""
260121_發球_11_03_LF_240.mov,260121,LF,起跳(雙腳離地),7887,262.920386,""
260121_發球_11_03_LF_240.mov,260121,LF,躬身(拉到角度最大時),7897,263.253714,""
260121_發球_11_03_LF_240.mov,260121,LF,手肘到前,7910,263.687042,""
