Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_11_03_X_30.mp4,260121,X,站定準備,54,1.824845,""
260121_發球_11_03_X_30.mp4,260121,X,步伐腳跟著地,74,2.491505,""
260121_發球_11_03_X_30.mp4,260121,X,步伐腳跟著地,92,3.091498,""
260121_發球_11_03_X_30.mp4,260121,X,拋球(球位於最低點),94,3.158164,""
260121_發球_11_03_X_30.mp4,260121,X,拋球(球離手),107,3.591493,""
260121_發球_11_03_X_30.mp4,260121,X,步伐腳跟著地,107,3.591492,""
260121_發球_11_03_X_30.mp4,260121,X,抬擊球手前1幀,112,3.758157,""
260121_發球_11_03_X_30.mp4,260121,X,蹲下(最低點),114,3.824823,""
260121_發球_11_03_X_30.mp4,260121,X,步伐腳跟著地,117,3.924822,""
260121_發球_11_03_X_30.mp4,260121,X,起跳(雙腳離地),123,4.124819,""
260121_發球_11_03_X_30.mp4,260121,X,躬身(拉到角度最大時),126,4.224818,""
260121_發球_11_03_X_30.mp4,260121,X,手肘到前,129,4.324817,""
260121_發球_11_03_X_30.mp4,260121,X,擊球(瞬間),130,4.35815,""
260121_發球_11_03_X_30.mp4,260121,X,球離手(瞬間),132,4.424816,""
260121_發球_11_03_X_30.mp4,260121,X,落地(腳著地瞬間),135,4.524815,""
260121_發球_11_03_X_30.mp4,260121,X,站定準備,320,10.675412,""
260121_發球_11_03_X_30.mp4,260121,X,步伐腳跟著地,332,11.075408,""
