Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,33,1.125831,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,2204,73.495885,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,2998,99.958577,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,3741,124.712708,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,4516,150.537883,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,5390,179.667748,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,6049,201.648893,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,6831,227.705922,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,7641,254.70513,""
260121_發球_07_04_RF_240.mov,260121,RF,站定準備,8435,281.184664,""
