Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_07_02_RF_240.mov,260113,RF,站定準備,367,12.2663,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,1737,57.921274,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,1816,60.550477,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球位於最低點),1840,61.347563,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球離手),1898,63.296775,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,1923,64.102265,""
260113_發球_07_02_RF_240.mov,260113,RF,蹲下(最低點),1981,66.045613,""
260113_發球_07_02_RF_240.mov,260113,RF,抬擊球手前1幀,2020,67.366666,""
260113_發球_07_02_RF_240.mov,260113,RF,躬身(拉到角度最大時),2020,67.366666,""
260113_發球_07_02_RF_240.mov,260113,RF,起跳(雙腳離地),2021,67.375236,""
260113_發球_07_02_RF_240.mov,260113,RF,擊球(瞬間),2037,67.907755,""
260113_發球_07_02_RF_240.mov,260113,RF,手肘到前,2050,68.340553,""
260113_發球_07_02_RF_240.mov,260113,RF,球離手(瞬間),2065,68.861195,""
260113_發球_07_02_RF_240.mov,260113,RF,落地(腳著地瞬間),2099,69.996496,""
260113_發球_07_02_RF_240.mov,260113,RF,站定準備,3317,110.593421,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,3607,120.261662,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球位於最低點),3641,121.369836,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球離手),3685,122.866666,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,3686,122.876934,""
260113_發球_07_02_RF_240.mov,260113,RF,蹲下(最低點),3750,125.033333,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,3751,125.044764,""
260113_發球_07_02_RF_240.mov,260113,RF,起跳(雙腳離地),3798,126.633333,""
260113_發球_07_02_RF_240.mov,260113,RF,抬擊球手前1幀,3798,126.6,""
260113_發球_07_02_RF_240.mov,260113,RF,躬身(拉到角度最大時),3798,126.6,""
260113_發球_07_02_RF_240.mov,260113,RF,擊球(瞬間),3824,127.491141,""
260113_發球_07_02_RF_240.mov,260113,RF,手肘到前,3835,127.833629,""
260113_發球_07_02_RF_240.mov,260113,RF,球離手(瞬間),3862,128.765053,""
260113_發球_07_02_RF_240.mov,260113,RF,落地(腳著地瞬間),3907,130.237666,""
260113_發球_07_02_RF_240.mov,260113,RF,站定準備,4986,166.209883,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,5196,173.223243,""
260113_發球_07_02_RF_240.mov,260113,RF,步伐腳跟著地,5264,175.471691,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球位於最低點),5266,175.534846,""
260113_發球_07_02_RF_240.mov,260113,RF,拋球(球離手),5340,178.002588,""
