Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_07_03_X_30.mp4,260113,X,站定準備,98,3.292899,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,142,4.756367,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),152,5.081522,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,157,5.255437,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),166,5.549502,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,169,5.63443,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),174,5.825527,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),181,6.065746,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,182,6.078904,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),182,6.078904,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,184,6.156246,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),186,6.224763,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),190,6.360038,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),192,6.43276,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,318,10.619898,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,390,13.016969,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),396,13.208458,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,405,13.500931,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),412,13.743435,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,417,13.904977,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),417,13.904818,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),427,14.244484,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,427,14.255401,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),427,14.255401,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,430,14.341786,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),432,14.418037,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),436,14.539256,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),438,14.605068,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,586,19.548408,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,628,20.948684,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),632,21.082767,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),637,21.241788,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,640,21.357694,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),646,21.561243,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,648,21.60463,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),652,21.761695,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,653,21.77496,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),653,21.77496,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,656,21.882388,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),657,21.929395,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),658,21.960877,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),658,21.960877,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,816,27.23193,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,859,28.666633,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),864,28.815986,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,870,29.022653,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),872,29.069188,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,880,29.35662,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),880,29.340679,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),885,29.516385,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,886,29.541953,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),886,29.541953,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,889,29.644068,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),889,29.657457,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),891,29.701962,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),894,29.809014,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,1055,35.177018,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1097,36.583051,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),1106,36.872646,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1110,37.021052,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),1120,37.362626,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1123,37.449049,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),1129,37.640663,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),1135,37.836664,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,1135,37.84174,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),1135,37.84174,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,1138,37.943462,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),1139,37.987935,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),1144,38.148004,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),1147,38.236006,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,1299,43.314345,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1325,44.194352,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),1330,44.343308,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),1335,44.521055,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1336,44.541357,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1343,44.790351,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),1343,44.790542,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),1350,45.026111,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,1350,45.030894,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),1350,45.030894,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,1353,45.104061,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),1354,45.164825,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),1356,45.20649,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),1360,45.336652,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,1499,49.983047,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1539,51.327024,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球位於最低點),1543,51.454984,""
260113_發球_07_03_X_30.mp4,260113,X,拋球(球離手),1548,51.627672,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1549,51.640044,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1558,51.947073,""
260113_發球_07_03_X_30.mp4,260113,X,蹲下(最低點),1558,51.93988,""
260113_發球_07_03_X_30.mp4,260113,X,抬擊球手前1幀,1561,52.066666,""
260113_發球_07_03_X_30.mp4,260113,X,躬身(拉到角度最大時),1561,52.066666,""
260113_發球_07_03_X_30.mp4,260113,X,起跳(雙腳離地),1562,52.084565,""
260113_發球_07_03_X_30.mp4,260113,X,手肘到前,1565,52.191314,""
260113_發球_07_03_X_30.mp4,260113,X,擊球(瞬間),1567,52.265399,""
260113_發球_07_03_X_30.mp4,260113,X,球離手(瞬間),1571,52.375407,""
260113_發球_07_03_X_30.mp4,260113,X,落地(腳著地瞬間),1573,52.449606,""
260113_發球_07_03_X_30.mp4,260113,X,站定準備,1688,56.294959,""
260113_發球_07_03_X_30.mp4,260113,X,步伐腳跟著地,1741,58.060016,""
