Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_02_L_240.mov,260113,L,站定準備,67,2.250636,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,101,3.382448,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),108,3.61658,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),115,3.853541,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),121,4.039416,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),123,4.116461,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,202,6.752672,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,254,8.482567,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),283,9.466313,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),312,10.40564,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),325,10.854286,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),335,11.198816,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,537,17.923543,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,752,25.091322,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),780,26.010824,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),819,27.315071,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),838,27.94716,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),848,28.286842,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,1211,40.372052,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,1334,44.483347,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),1354,45.15119,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),1383,46.131918,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),1398,46.603675,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),1411,47.039081,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,1700,56.691978,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,1837,61.239129,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),1861,62.059565,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),1896,63.219338,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),1914,63.808008,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),1926,64.231919,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,2232,74.400393,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,2426,80.891624,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),2462,82.071993,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),2501,83.371574,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),2518,83.951083,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),2528,84.292339,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,2843,94.78161,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,3010,100.337958,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),3030,101.009979,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),3067,102.262075,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),3093,103.11001,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),3110,103.686247,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,3360,112.006274,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,3553,118.438311,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),3579,119.318719,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),3610,120.358324,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),3627,120.910469,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),3639,121.318444,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,3915,130.527205,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,4051,135.04707,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),4078,135.958375,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),4119,137.326372,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),4139,137.990915,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),4149,138.311146,""
260113_舉球_07_02_L_240.mov,260113,L,站定準備,4450,148.335437,""
260113_舉球_07_02_L_240.mov,260113,L,步伐腳跟著地,4471,149.046504,""
260113_舉球_07_02_L_240.mov,260113,L,卡位(完成轉身等待接球),4481,149.367562,""
260113_舉球_07_02_L_240.mov,260113,L,蹲下(位於最低點),4487,149.591756,""
260113_舉球_07_02_L_240.mov,260113,L,手觸球(瞬間),4491,149.700672,""
260113_舉球_07_02_L_240.mov,260113,L,球離手(瞬間),4493,149.786526,""
