Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,414,13.809172,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,675,22.522515,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),694,23.160223,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),711,23.716066,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,729,24.330873,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),748,24.960067,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,756,25.218506,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),774,25.819101,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,776,25.868327,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),776,25.868327,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,789,26.301656,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),793,26.434987,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),799,26.633407,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),808,26.937111,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,2179,72.666666,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,2265,75.505377,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),2290,76.365346,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),2301,76.71027,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,2326,77.55934,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),2333,77.783656,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,2345,78.178783,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),2365,78.860014,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,2368,78.952997,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),2368,78.952997,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,2379,79.31966,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),2383,79.452992,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),2384,79.486325,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),2412,80.404202,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,3037,101.243048,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3093,103.106911,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),3118,103.939222,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),3129,104.309568,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3134,104.491771,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),3152,105.095062,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3162,105.411277,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),3179,105.998213,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,3181,106.066267,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),3181,106.066267,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,3194,106.499596,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),3197,106.599595,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),3198,106.632928,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),3219,107.313038,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,3821,127.380987,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3858,128.609033,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),3866,128.867748,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),3879,129.305899,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3889,129.664548,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),3914,130.488447,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,3921,130.721424,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,3945,131.533333,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),3945,131.533333,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),3946,131.542062,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,3956,131.899993,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),3959,131.99999,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),3966,132.200244,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),3980,132.687837,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,4641,154.705192,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,4650,155.011614,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),4671,155.711266,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,4691,156.386994,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),4691,156.381498,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,4714,157.161237,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),4721,157.398707,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),4753,158.462619,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,4755,158.510176,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),4755,158.510176,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,4760,158.676841,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),4763,158.77684,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),4770,159.000951,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),4781,159.392598,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,5353,178.446373,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,5401,180.042041,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),5425,180.864525,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),5443,181.435847,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,5445,181.513016,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),5471,182.385763,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,5476,182.553649,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),5502,183.411165,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,5503,183.452098,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),5503,183.452098,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,5511,183.718762,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),5515,183.852093,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),5516,183.885426,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),5536,184.540145,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,6083,202.785225,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,6206,206.893669,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),6219,207.319849,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),6241,208.046359,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,6252,208.413967,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),6272,209.094905,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,6281,209.381362,""
260121_發球_07_04_LF_240.mov,260121,LF,起跳(雙腳離地),6304,210.140032,""
260121_發球_07_04_LF_240.mov,260121,LF,抬擊球手前1幀,6307,210.24252,""
260121_發球_07_04_LF_240.mov,260121,LF,躬身(拉到角度最大時),6307,210.24252,""
260121_發球_07_04_LF_240.mov,260121,LF,手肘到前,6314,210.475851,""
260121_發球_07_04_LF_240.mov,260121,LF,擊球(瞬間),6318,210.609183,""
260121_發球_07_04_LF_240.mov,260121,LF,球離手(瞬間),6319,210.642516,""
260121_發球_07_04_LF_240.mov,260121,LF,落地(腳著地瞬間),6338,211.294706,""
260121_發球_07_04_LF_240.mov,260121,LF,站定準備,6916,230.547556,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,6973,232.447135,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球位於最低點),6998,233.284428,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,7013,233.767254,""
260121_發球_07_04_LF_240.mov,260121,LF,拋球(球離手),7013,233.768491,""
260121_發球_07_04_LF_240.mov,260121,LF,蹲下(最低點),7042,234.751502,""
260121_發球_07_04_LF_240.mov,260121,LF,步伐腳跟著地,7046,234.898264,""
