Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_07_01_R_240.mov,260121,R,站定準備,226,7.564236,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,1358,45.282574,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,1879,62.66227,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,2395,79.83868,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,2911,97.065604,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,3467,115.595637,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,3938,131.273325,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,4210,140.35619,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,4562,152.094444,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,5037,167.901215,""
260121_舉球_07_01_R_240.mov,260121,R,站定準備,5565,185.511341,""
