Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,96,3.225819,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,233,7.783665,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,364,12.135497,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,465,15.527825,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,589,19.655777,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,715,23.863973,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,821,27.383757,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,941,31.384689,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,1108,36.952373,""
260121_舉球_07_03_X_30.mp4,260121,X,站定準備,1225,40.856285,""
