Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,89,2.991405,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,221,7.387567,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,345,11.503534,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,451,15.043666,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,593,19.783714,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,713,23.780272,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,835,27.860521,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,961,32.060413,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,1092,36.404173,""
260121_舉球_07_03_Y_30.mp4,260121,Y,站定準備,1218,40.628488,""
