Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_07_03_RF_240_2.mov,260113,RF,站定準備,305,10.191953,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,3868,128.940337,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球位於最低點),3918,130.62053,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,3958,131.952694,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球離手),3998,133.269461,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,4036,134.534672,""
260113_發球_07_03_RF_240_2.mov,260113,RF,蹲下(最低點),4071,135.732194,""
260113_發球_07_03_RF_240_2.mov,260113,RF,起跳(雙腳離地),4126,137.538323,""
260113_發球_07_03_RF_240_2.mov,260113,RF,抬擊球手前1幀,4128,137.629887,""
260113_發球_07_03_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),4128,137.629887,""
260113_發球_07_03_RF_240_2.mov,260113,RF,手肘到前,4151,138.385014,""
260113_發球_07_03_RF_240_2.mov,260113,RF,擊球(瞬間),4165,138.835058,""
260113_發球_07_03_RF_240_2.mov,260113,RF,擊球(瞬間),4168,138.95518,""
260113_發球_07_03_RF_240_2.mov,260113,RF,球離手(瞬間),4212,140.416745,""
260113_發球_07_03_RF_240_2.mov,260113,RF,落地(腳著地瞬間),4238,141.299321,""
260113_發球_07_03_RF_240_2.mov,260113,RF,站定準備,5381,179.372443,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,5746,191.5458,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球位於最低點),5788,192.957217,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球離手),5830,194.34186,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,5837,194.591252,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,5875,195.84079,""
260113_發球_07_03_RF_240_2.mov,260113,RF,蹲下(最低點),5906,196.884409,""
260113_發球_07_03_RF_240_2.mov,260113,RF,起跳(雙腳離地),5946,198.206137,""
260113_發球_07_03_RF_240_2.mov,260113,RF,抬擊球手前1幀,5948,198.287658,""
260113_發球_07_03_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),5948,198.287658,""
260113_發球_07_03_RF_240_2.mov,260113,RF,手肘到前,5965,198.83345,""
260113_發球_07_03_RF_240_2.mov,260113,RF,擊球(瞬間),5973,199.129436,""
260113_發球_07_03_RF_240_2.mov,260113,RF,球離手(瞬間),5973,199.129436,""
260113_發球_07_03_RF_240_2.mov,260113,RF,落地(腳著地瞬間),6005,200.190823,""
260113_發球_07_03_RF_240_2.mov,260113,RF,站定準備,7530,251.003554,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,7587,252.919231,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球位於最低點),7631,254.394059,""
260113_發球_07_03_RF_240_2.mov,260113,RF,拋球(球離手),7673,255.772969,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,7707,256.903953,""
260113_發球_07_03_RF_240_2.mov,260113,RF,蹲下(最低點),7732,257.762666,""
260113_發球_07_03_RF_240_2.mov,260113,RF,步伐腳跟著地,7740,258.024405,""
260113_發球_07_03_RF_240_2.mov,260113,RF,起跳(雙腳離地),7784,259.499282,""
260113_發球_07_03_RF_240_2.mov,260113,RF,抬擊球手前1幀,7788,259.605699,""
260113_發球_07_03_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),7788,259.605699,""
