Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_01_L_240_2.mov,260113,L,站定準備,833,27.794828,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,1354,45.155142,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,1397,46.573038,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,1445,48.166901,""
260113_舉球_07_01_L_240_2.mov,260113,L,卡位(完成轉身等待接球),1516,50.553452,""
260113_舉球_07_01_L_240_2.mov,260113,L,蹲下(位於最低點),1572,52.411099,""
260113_舉球_07_01_L_240_2.mov,260113,L,手觸球(瞬間),1611,53.726887,""
260113_舉球_07_01_L_240_2.mov,260113,L,球離手(瞬間),1654,55.160923,""
260113_舉球_07_01_L_240_2.mov,260113,L,站定準備,2023,67.454128,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,2161,72.055436,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,2200,73.346956,""
260113_舉球_07_01_L_240_2.mov,260113,L,卡位(完成轉身等待接球),2265,75.516657,""
260113_舉球_07_01_L_240_2.mov,260113,L,蹲下(位於最低點),2303,76.791397,""
260113_舉球_07_01_L_240_2.mov,260113,L,手觸球(瞬間),2314,77.159067,""
260113_舉球_07_01_L_240_2.mov,260113,L,手觸球(瞬間),2328,77.616226,""
260113_舉球_07_01_L_240_2.mov,260113,L,球離手(瞬間),2344,78.139542,""
260113_舉球_07_01_L_240_2.mov,260113,L,站定準備,2639,87.988077,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,2753,91.787707,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,2790,93.010361,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,2823,94.132333,""
260113_舉球_07_01_L_240_2.mov,260113,L,卡位(完成轉身等待接球),2855,95.187469,""
260113_舉球_07_01_L_240_2.mov,260113,L,蹲下(位於最低點),2893,96.458563,""
260113_舉球_07_01_L_240_2.mov,260113,L,手觸球(瞬間),2926,97.540043,""
260113_舉球_07_01_L_240_2.mov,260113,L,球離手(瞬間),2946,98.232251,""
260113_舉球_07_01_L_240_2.mov,260113,L,站定準備,3216,107.220613,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,3302,110.082213,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,3354,111.828165,""
260113_舉球_07_01_L_240_2.mov,260113,L,步伐腳跟著地,3377,112.596938,""
260113_舉球_07_01_L_240_2.mov,260113,L,卡位(完成轉身等待接球),3412,113.748009,""
