Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,1006,33.534525,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,1056,35.231532,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,1182,39.413341,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,1239,41.304477,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),1289,42.999724,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),1351,45.053383,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),1414,47.143545,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),1440,48.019856,""
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,2050,68.342069,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,2184,72.823463,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,2283,76.128025,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,2376,79.218443,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),2430,81.014493,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),2483,82.784295,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),2514,83.815463,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),2537,84.596549,""
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,3010,100.344103,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,3179,105.993875,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,3301,110.051248,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,3366,112.224409,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),3415,113.845906,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),3480,116.026443,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),3532,117.748022,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),3557,118.567611,""
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,4109,136.977099,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,4324,144.160367,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,4441,148.039991,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,4503,150.116465,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),4549,151.644401,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),4623,154.105811,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),4657,155.240337,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),4681,156.049855,""
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,5199,173.305799,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,5359,178.657747,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,5473,182.465901,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,5529,184.322322,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),5562,185.412685,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),5631,187.729151,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),5700,190.010133,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),5721,190.722583,""
260113_舉球_07_02_R_240_2.mov,260113,R,站定準備,6534,217.801031,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,6576,219.20813,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,6656,221.873207,""
260113_舉球_07_02_R_240_2.mov,260113,R,步伐腳跟著地,6734,224.486449,""
260113_舉球_07_02_R_240_2.mov,260113,R,卡位(完成轉身等待接球),6773,225.784076,""
260113_舉球_07_02_R_240_2.mov,260113,R,蹲下(位於最低點),6841,228.053188,""
260113_舉球_07_02_R_240_2.mov,260113,R,手觸球(瞬間),6906,230.231029,""
260113_舉球_07_02_R_240_2.mov,260113,R,球離手(瞬間),6931,231.056407,""
