Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,730,24.366654,""
260121_發球_04_03_RF_240.mov,260121,RF,步伐腳跟著地,750,25.03333,""
260121_發球_04_03_RF_240.mov,260121,RF,步伐腳跟著地,832,27.76665,""
260121_發球_04_03_RF_240.mov,260121,RF,拋球(球位於最低點),862,28.76664,""
260121_發球_04_03_RF_240.mov,260121,RF,抬擊球手前1幀,871,29.066663,""
260121_發球_04_03_RF_240.mov,260121,RF,拋球(球離手),891,29.733297,""
260121_發球_04_03_RF_240.mov,260121,RF,步伐腳跟著地,902,30.09996,""
260121_發球_04_03_RF_240.mov,260121,RF,步伐腳跟著地,937,31.266615,""
260121_發球_04_03_RF_240.mov,260121,RF,蹲下(最低點),938,31.299941,""
260121_發球_04_03_RF_240.mov,260121,RF,起跳(雙腳離地),957,31.933267,""
260121_發球_04_03_RF_240.mov,260121,RF,躬身(拉到角度最大時),973,32.466589,""
260121_發球_04_03_RF_240.mov,260121,RF,手肘到前,989,32.999909,""
260121_發球_04_03_RF_240.mov,260121,RF,擊球(瞬間),993,33.133239,""
260121_發球_04_03_RF_240.mov,260121,RF,球離手(瞬間),994,33.16657,""
260121_發球_04_03_RF_240.mov,260121,RF,落地(腳著地瞬間),1012,33.76656,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,1641,54.731927,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,2463,82.127279,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,3284,109.480307,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,4101,136.714142,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,4911,163.701524,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,5907,196.903864,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,6766,225.565162,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,7559,251.977112,""
260121_發球_04_03_RF_240.mov,260121,RF,站定準備,8492,283.09364,""
